comment,label
weaponized justice system we will be the next banana republic if this were a democratic x president liberals and democrats would be furious but since its trump their saving democracy,0
i dont care about any of this crap getting thrown at trumpim voting for him again he has the balls to fix whats broken in the usaespecially the crap thats going on at the border and the freshly booted dhs secretary alejandro n mayorkas,0
if trump doesnt have the now is the time for the rnc to tell him to eff off,0
hey cnn 133 days have passed since 6 american hostages have been held in gaza by hamas and this is what you prioritize shameful,0
cnn is grinning so hard their ears are wet wait till november i bet they will be singing a different tune,0
wonderful day for joe putin go joe putin go,0
he will for sure get elected now what a bunch of idiots,0
i cant laugh anymore the ignorant of the people that voted for the treasonous trader joe biden do not understand this is going to go to the supreme court it going to be shut down but let them know they little damage brain they have nothing in there i have to laugh about this cuz theyre so ignorant that they actually believe this is going to go anywhere,0
thanks democrats you fools are just paving the way to his re election lol,0
this just proves the investigation in all of this has been going on for years and now after his presidential bs just added to the case hes a has been finally,0
trump wins big very smart man,0
if trump wins the presidencyo lot of people going to fall of their balcony and som will end up with shady dead we call it in holland bijltjes dag if i was the judgei would leave the usa after the exit polls,0
idiot finally visits east palestine ohio cnntrump trump trumplol,0
praise my god not trumps god,0
they are trying so hard to bring him down so he doesnt become the next president they are so afraid if he becomes president jokes on them their fear is regardless of trump for all the crimes they have committed in office they will pay,0
there is no victim only a corrupt soros dictatorship us is a banana republic,0
3 years 42 days after smelly stupids insurrection lets hope stupid finally receives a 22year proud boy sentence stupid fined 355m fine with interest for fraud after also being prosecuted 5m for rape and 833m for having a big mouth only in america the land of the school shootings would a pathological liar with 91 charges against him still be eligible to be president again,0
shark tanks kevin oleary said trump didnt do anything different than every other commercial real estate developer does ny is a dystopian fascist banana state,0
not a single person believes any of this stuff in nyc everyone can tell how everything has been set up its funny the more the left trys to sink him the more people like him heck im a democrat and im gonna vote for him trump 2024 yall have gone crazy we wont make it with progressive control and ideas the last 3 years have been horrible brandon would mess up a wet dream id rather listen to a mean tweet and have cheaper gas and groceries and secure borderskick rocks joe and harris,0
what a crock the democrats let real criminals loose like the scum bags that beat up the 2 police officers,0
