comment,likes_count
i didnt see the full room come together not once not at protecting children from lead in their water not at stopping drug traffickers not at advancing cancer research we need to be exclusively voting for people who will work together against the problem rather than people who obstruct everyone different from them at every opportunity,1024
johnson looked like he was sitting outside the principals office waiting to get paddled,690
you cant love the country only when you win,676
you cant love your country only when you win so true,622
anybody notice how many times speaker mike johnson nodded agreeing with a lot of things biden said peace from australia,527
the middle class built america unions built the middle class absolutely,488
canadian here just watched this i hear a lot of talk about your president having a failing mind he was pretty sharp tonight i think you should be proud of him seems like hes doing a lot of good things for you,486
for future scholars it starts at 2645,445
biden begins speaking at 2650 for those not here for the pomp and circumstance,443
mike johnson is visibly uncomfortable as he knows djt is watching his reaction,398
that room is littered with enemies of the state,390
his speech is really bothering johnson he has no excuse for what he is allowing in the house,376
the party told you to reject the evidence of your eyes and ears it was their final most essential command george orwell 1984,369
we can either fight to fix the border or we can fix the border,367
im not a neurologist but im fairly certain that someone with dementia wouldnt be able to deliver a speech like that to get an example of a speech by someone that actually has it just watch literally any speech that donald trump ever gives,358
304 how in all thats holy did george santos manage to weasel his way into the chamber for the sotu he was expelled does he not have any shame,306
i see a future where we defend america not diminish it,290
joe biden said things tonight that literally boosted my support of his presidency and im a person who did not want him as the democratic candidate in 2020 he is the first president ive ever heard tell the truth that trickle down economics was a failure and he wasnt going to do that anymore,281
the best part is where he let the supreme court justices have it lol,277
if corporations can get votinglobbying rights and seen as persons they need to get taxed as such yes 25 is fair from billionaires and corporations since working class people get 23 taken from their pay,272
its sickening watching republicans not standing in ovation at bidens remarks against putin and russia sickening,263
i wonder if those in that room truly fathom how despised they are by the american people,236
mtg is pure unadulterated trash,231
when he was talking about fighting big pharma you could tell whos pockets were lined in the audience big pharmas dark money runs deep,227
im a right leaning american and that is the joe biden ive needed to hear for as long as i can remember,225
medicare being able to negotiate drug prices and capping insulin at 35 is a huge relief for everyone in america insurance rates and non insured healthcare is so expensive because greedy pharmaceutical corporations are charging insane amounts because they know they can get away with it how is it that something that costs 10 to make would be sold 400 its about time a sitting president said no and told big pharma to drop their prices and cap it as someone with elderly parents i am thankful,216
i love how biden plays the reps ohh you dont like that bill which is theirs lol,214
mike johnson has become the embodiment of in my heart of hearts i know i am on the wrong side of history but must double down on my hypocrisy to save face,214
you cant love your country only when you win,213
hope beats hate,209
im so proud to be an american the presidents speech was awesome if you notice mike johnson was agreeing and also clapping you know donald trumps going to get mad at him for doing that but remember president biden says hes for all americans not just one side god bless america vote,199
a president that doesnt whine and cry about how unfair hes been treated breath of fresh air,198
doesnt seem very sleepy to me and he speaks in full sentences unlike someone else we all know,197
watching katie britt deliver the gop response makes me believe she failed drama class,190
uncle joe still knows how to work a room he wasnt my first choice in 2020 but hes getting my vote in november,190
greene looks like she should be outside pushing a souvenir cart,189
viva biden absolutely welcoming to hear biden say what he did i couldnt take my eyes off of house speaker johnson as he twisted and turned like a nightcrawler well republicans you asked for it and you got it from a wonderful president muchas gracias biden so proud of you for a wonderful speech,187
i willstop you the dark brandon one liners are always hilarious,186
youd find less crooks in a prison food hall,183
i didnt see any dementia from joe he used complete sentences wasnt slurring and actually made sense hes old but much more sane and coherent than trump,178
youd think that johnson and company could see to it that they at least clap for cutting child poverty taking care of our elders and covering everyone with health insurance but no allegiance to party and not country ssdd,177
i loved when he looked at the supreme court and told them to watch out for the womenold men just sat there,172
president bidenyou did an outstanding jobspeech was real authentic and trump could never speak as long as you did with focuswith factswith integrity with empathywith intentionhe could never,166
what a great president lets stand up for democracy and freedom and vote,165
over an hour energized coherent morally clear you wont get that from trump heck you wont get that from any republican anymore and yet people pretend that he can barely speak anymore because our generation lives entirely off of a few 10 second clips,164
awesome a president who has a platform other than a wannabe dictator intent on retribution,161
no more tax cuts for the wealthy and big companies,158
congratulations to president biden on his excellent speech vote for democracy vote blue,158
i am convinced mtg is illiterate,156
proud of this president,156
powerful and sincere bravo mr president,156
johnson was really uncomfortable when confronted with remembrance of his actions is history,148
biden knocked it out of the park 4 more years vote blue down the line vote all republicans out especially maga,143
mike johnson looks like hes going to combust from embarrassment,140
amazing he delivered trump can only ramble,140
a very important speech delivered very well,140
that folks is what a president is supposed to sound like hope not the other guy whose always down on everything and everyone and is always trying to frighten these poor people that look up to him for leadership,131
yes a man of the people compassion experience loved by the majority and when it counts he is there and delivers yep and can hit back,126
so proud of president biden he gave a dynamic and inspiring speech,125
four more years bidenharris 2024,123
a great speech from a great president 4 more years,123
not clapping or respecting our president because of your allegiance to your party is wrong and unamerican,120
amazing speech made me feel hopeful and looking forward to november lets get to work,120
great state of union,120
loved the chastised looks on sc faces,119
he did his thing biden 2024,119
if you are wondering if republicans are for americansnone of them stood or clapped for reducing drug prices,117
i watched some of this i was disgusted but not surprised by the decorum of some notable maga republicans yelling shouting showing absolute disrespect mtg has got to go,117
johnsons probably going to be in the dog house for all of his unconscious head nodding,115
we need meaningful campaign reforms 1 eliminate campaign donations and solicitations including super pacs 2 open primaries to independent voters nationwide 3 no more gerrymandering political maps 4 eliminate the electoral college that provides 538 chosen people the ability to determine the president,115
agree with a lot especially the education you have to invest in your populace if you hope them to be able to defend your nation,113
thank god for mtg shes single handedly will cost republicans elections as long as shes on a camera somewhere,113
2024 state of the union adress by president joe biden was excellent,113
thats the good president talking the true,113
johnson smirking when joe says stop it referring to stopping gun violence sys it all,110
yes we the people need to enable biden to continue on his path to improve our nation as a democracy,110
80 of these old men are supposed to be in jail quite shocked to see them out and about,106
anybody else think mike johnson looks like hed rather be anyplace else than behind the president,104
great speech mr president you keep pushing back those republican you got my vote vote blue,104
gotta love that alabama gov ivey literally scrambled to sign a bill to protect ivf in her state not coincidentally just 1 day before tonights sotu address and the subsequent rebuttal by sen britt of alabama the entire gop is in full blown scramble mode right now the look on the faces of the conservative supreme court justices during pres bidens speech regarding r v w and ivf were priceless i hope that they were as uncomfortable as their expressionless faces demonstrated they were,103
great speach mtg needs ti be removed,103
our president gave a great speech with detail regarding what he has done and what he intends to do which is a lot god bless america and god protect our troops,103
he went right at the supreme court justices,102
the maga supreme court was left with egg rotten on there faces lmbao patrick,102
suprised the comments are open for us,101
great delivery of a greater speech that is my president and will be for 4 more years,101
god bless america and god bless and protect joe biden im so proud to be an american once again thank you president biden for talking about all you have accomplished as president the list is long and impressive you have the energy and the heart of a much younger man here is to helping you meet all the life saving goals you have set dont ever let the trumps or abbotts get in your way they are paid by millionaires for their votes and favors much like a common prostitute their interests are self serving only enough of them and no more,100
5220 remember when trump said hed have the best healthcare plan to replace the disaster of obamacare and never did,96
i went back to watch trumps sotu address and see democrats give trump the stand ovation i dont see johnson or almost any republicans give us president the same respect as democratic gave to trump what ashamed these people who called themselves professional,96
mike johnsons eyes were rolling more than the wheels on a confederate paddleboat,95
seriously mike johnson you are the speaker of the house and you dont stand for the president of united states regardless of partythat is extremely disrespectful sir,94
great job mr president,94
our president joe biden gave the american people an outstanding speech of hope unity kindness democracy compassion love for one another the constitution over party how the country is thriving with all the work his administration is doing in partnership with the democratic party holding its ground working for every day americans that will continue for another four years he has my vote,93
he killed it im impressed,93
great speech president joe biden,93
proud to be american again,91
ninth inning bases loaded biden up the score is tied 32 count and biden knocks it out of the park grand slammer for the democratic team way to go joe,90
he did a wonderful job tonight so proud,88
no respect for the supreme court bought and paid for,87
mgt is dressed so unprofessionally literally looks like a 10 year old dressed in their favorite singers or bands merch what a joke,86
i have to admit that this tired old fart actually mananged to regain my vote this evening well done joe whether i like it or not are a true sliver of what is left of what our country has been and could eventually be this was the adept and cognizant president i had only dreamed to hear from today so sad that echo chambers will keep this from being heard anywhere else that this side of field,86
the gop response is so dark and out of touch what dummies,86
mike johnson cant clap for lower rent healthcare or universal pre k all you need to know,85
go joethank you sir,85
wow he knocked it out of the ballpark you go mr president,84
loved how he went after the supreme court right in front of their faces,83
awesome speech ridin with biden,83
the president for sure checked and balanced the supreme court tonight he did great,83
johnson was bitting his bottom lip thur the entire union,83
mtg looks like a hostess hello welcome to dennys,82
i work a full time job and the price of groceries is killing me totally unable to put anything in the bank what about that,82
the lack of applause in half of the room makes clear that we are at war with the enemy in our own country chilling,82
after this speech i have never been more certain that president biden is the right person for this job at this unique and precarious time in history hes the wise elderwarrior to help ensure the survival of democracy for the millenia to come,82
stunningly brilliant speech and didnt you just love the really stupid mtg in her maga hat heckle and fall right into his trap loved it,82
best state of the union speech ever and i am almost 70 years old yay joe biden,82
anyone else thinks he knocked it out of the park,80
is there anyone in this room under the age of 50,77
that was a great sotu almost makes me like him as a candidate instead of being a nottrump vote he shut down any suggestion hes senile tonight,77
where is clarence thomas on a freebie trip,77
fantastic speach,77
its a shame that the speaker of the house isnt standing snd clapping this partisan politics is tearing this great nation apart hes third in line although he is a trump puppet,76
we have to get to the polls and vote we have to make sure bidens vision for america is the one we get dont take anything for granted get out and vote and take friends with you its your job as an american to defend freedom and democracy,76
the word is the old politition with political skills he got into politics when he was too young 29 now age has its glory awesome speech,76
that was a great speech joe is awesome it was so fun to watch johnson squirm go joe,75
i love our president biden,75
great speech great job great outlook for the future mr president,74
msm now keep telling us how biden is senile saw none of that here,73
job well done president joe biden a president with a plan even foxnews was impressed bidenharris 2024,73
love my president,73
4357 loved his dig on the repubs that didnt support the infrastructure bill,71
my goodness if this is a man with cognitive decline i cant see any evidence ive watched every sotu since i turned 18 from gw bush through this one bidens are among the best i hope i have this kind of energy 40 years from now when im joes age,70
love you president biden best president in us history,70
wow while i am not a us citizen biden was amazing he sounded strong did not ramble or go off course he is a president,68
gotta respect maga mike nodding in agreement during the ukraine portion even when biden criticized trump he nodded gentler nod during that part but still a nod he wont last long the cult is going to eat him,67
mtg is wearing her iq on her hat,67
