comment,likes_count,label
one hour and twenty seven minutes of pure fecal matter,2,0
excellent point,1,0
thank god logic common sense is finally making sense,1,0
salam nyoenya poutus,1,0
the choice between 46a and iq45,8,0
please stop yapping,1,0
yuck,1,0
progressstrength innumbers peace,1,0
history will remember you genjoe,8,0
jesus answered them go and tell that fox i am driving out demons and performing cures today and tomorrow and on the third day i shall finish my work,1,0
𒀭,1,0
it was laken riley not lincoln riley,8,0
jesus is coming,1,0
ayekoo joe good and noble work done you have exhibited your muscles to prove how worthy you are,1,0
adderall,1,0
bidensimplythe best,8,0
if she dont sit down,1,0
on april 3rd the new ferc generator interconnection procedures and agreements the agreement or rules are designed to speed up the connection of the more than 2 tara watts of renewable energy built and waiting on connection to the grid,1,0
uwu,1,0
all eyes on gaza,1,0
people that believe this will believe anything,1,0
humiliating,1,0
this is child abuse,1,0
1 program text editors and accuracy in technologylessons from steve jobs bill gates since forever man,1,0
1 newsies accuracy in reporting,1,0
we need you thank you because you listen to us,9,0
1 scientists mathmaticians i present a scenario called infinite liesbegin equation solutions,1,0
hear yee hear yee i come with the updownvote statistics 13k up 68k down not exactly a good sign,1,0
you are the best,1,0
line of bullshit,1,0
hes gonna win,1,0
four more years,1,0
very well spoken,8,0
i have five kids and they were all able to read by kindergarten first grade and his goal is to have every kid able to read by third grade so you want to take us hundreds of years backwards in education progression,8,0
जय भम जय जय भम जय जय भम जय जय भम जय जय भम जय जय भम जय जय भम जय जय भम जय जय भम जय,1,0
amazing nailed it,1,0
salamat po sir president joe biden and to your wifemaam vice president harrissir blinken and all your governments inside of this videointernational law hadd islamic law talk thanks pothis not recorded but in digital or internet quranic salehbecause for me this possesi pray people heard and my governments here in the philippinesgod bless us po,1,0
to me is more the state of disunion,1,0
i only lern lern lern and want understand and help business home,1,0
thanks you for understand me and sorry about i say bad about opa john,1,0
bravo,1,0
bravo,1,0
bravo,1,0
thanks you soy math,1,0
respectedsirmodijiindiatakecairfinanee5rsiamnahimillagaiamnoprofitepleseiamrespectedbidensirfullsapportethankyousomach,1,0
coûte que coûte,1,0
thanks you verry math you président barack obama of chicago bulls américain,1,0
4 more years,7,0
yes thanks you fort,1,0
voilà en gros,1,0
fghirraim news live fhaaogg mashallah rgf,1,0
im with you my females,2,0
j usquua linfini,1,0
booooo,1,0
speaking a truism at the very start,1,0
amerika tazaniyaseikh abeid amani karume,1,0
i seriously can not believe yall are eating this up,7,0
leader spech on hold,1,0
this is pornographic,1,0
old dog killed innocent kids shame on this old dog,1,0
may name is nsimire zibanda thank you president joe ben,1,0
there are some evil destroyed,1,0
nsimirehebron ameen,1,0
four more years four more years four more years vote blue up and down every ticket,7,0
we are being ruled by halloween decorations fav sotus joke,7,0
i did ha ve a mi ini snickers but i prefer gummi bears,1,0
human for human,1,0
no love died,1,0
no soul,1,0
tazaniyanidewowisiusa,1,0
samiyanidiwowisitazaniya,1,0
a used car salesman couldnt have done better,8,0
we get backup,2,0
great speed 4 more years,1,0
lady in red is gross,9,0
liar my fathers prescriptions have tripled tripled under biden,1,0
this felt like catholic church up down up down,1,0
blah blah blah blahdidy blahdid blah bllalllah but blah blah and blah again thank you,1,0
powerful,12,0
someone took the last three sotus and showed that the same wordsphrases have been used three years in a row,1,0
lets see them talk about cognitive test now loveitjoe,1,0
นาเวรทนาเนอะแชมปประเทศของคณคณนะครบ,1,0
im voting for the predecessor,1,0
why the heck is she giving the camera a death starethat woman gives me the creeps,1,0
only 7 more months of this garbage,1,0
potus,1,0
chronic news network,1,0
senile old fart,1,0
what a shoe,1,0
whaaaat,1,0
average age in the room is over 70 and average net worth well over 2 million each something aint right here,12,0
im sorry your illegal killed laken hope riley,1,0
trans is child abuse,1,0
its not in the dog its the fight in the dog,1,0
dark brandon at it again,15,0
nice job,1,0
jesus is lord forever and ever ss,1,0
hello from bavaria in germany im going to have some sausages with potato salad i also have a few chicken wings after such a hard day like today im really looking forward to eating well hugs to you all welcome to the beginning of world war 3,1,0
great job,1,0
state of bull address,1,0
not crazy about kamala but my god she is beautiful,1,0
abortion is murder,1,0
the pandemic was a planned activity,1,0
aced it,1,0
congratulations you had an abortion,1,0
maga maga maga,1,0
the amount of bots and fake messages in this thread is ridiculous,13,0
candaceowensforpresident 2024,1,0
history is not watching so much as i am watching you,1,0
barking seals and bleating sheep all the way to summary destruction,1,0
seehes not all there,1,0
5045 my heart goes out to the gold star father who lost his son in afghanistan and then the following year his other son due to the loss of his brother,11,0
this is pathetic,1,0
jimmy jimmy jimmy cars terds were its really dads faults especially the one dad which benefited directly my last millenium life with gifts inheritance allegedly a not her no pun intended another warning goes out the despotic implied brothers christopher james kalavritinos louis james kalavritinos mafias set in motion over 50 straight years my bloodline s paupers to become priests at the volitioning united states washington district of columbia metropolitan area basilica of the immaculate conception shrine mormon tabernacle et ce terra via pillage keep rule to condition congregations to have careers for corruptions to further interloper upon al my available female growth factors supportssee synods rape on the perverted internet video images,1,0
no positive comments in this comment stream wow,1,0
in order of the biggest killers in earths history are stalin mao and joe biden joe biden and friends want to be your kings and you are all letting them turn your world into a communist fascist world,1,0
the lies and bs are so deep i dont have a pair of waders high enough to watch this trash,1,0
if youre smart were in no danger of that,1,0
4 more years,1,0
so many lies,1,0
rusia will always wilthe truth will win,1,0
for the peopleall people,9,0
history will remember you as a worthy breed of nazi germany,1,0
what a load of crap who wrote this for you sure wasnt your words,1,0
12545 who is she saying michigan loves you so much did she not see the primary if he had any actual competition he wouldnt have done nearly as well as he did,1,0
a bunch of seals,1,0
i dont like being yelled at for 12720 when i didnt do anything,9,0
this is the man fabulous job,1,0
kamala is indian and white,1,0
ride on my friend god bless you,1,0
i agreeyoure not smart so you stayed and lied repeatedly,1,0
new york deploys national guard to crack down on nyc subway crime 750 national guards 250 state policemen to patrol subway,11,0
what a clownshow,1,0
propanganda,1,0
outstanding,1,0
bot comments all of em,1,0
scummmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,1,0
i am loving this sotu its been awhile since i have experienced something like this very exciting,1,0
bidenomics no heat no meat just live on the street,4,0
war mongers and psychopaths reveal themselves0 words for peace or words of compassion for those dying in war many children and civiliansso many satanic criminals under 1 roof,1,0
i feel like im at a pep rally at a high school,10,0
horse shit,1,0
whats this clown show,1,0
thrse people are insane,1,0
what a vile human being complete failure,1,0
medicine makes miracles,1,0
hurl,2,0
great positive communication,6,0
barf,2,0
vive la justice et bas les injustices sociales et administratif,2,0
vive la france,2,0
bravo,2,0
thanks you soy math,2,0
good gravy what a disaster this mumbling man commies,3,0
why does this give me hunger games vibes,4,0
je suis désolée,2,0
embarrassing,3,0
why do you want to release prisoners,3,0
yall crack me up wow good luck during the fall out of nuclear war,3,0
puppet speaks a good game but full of bs bs is the applaud currency in this circus lol,3,0
disgusting,4,0
we need the wall yall crazy,4,0
what a clown,3,0
i dont know i dont believe any of thse people anymore,3,0
je viens darriver à la résidence william booth armée du salut 190 rue félix pyat dans le troisième arrondissement de marseille j ai été à la mosquée,2,0
lol satan and his minions are desperately running out of time,2,0
يتم اعاده مكارثي الى سلطه البرلمان مش مزاجيات وعليه احترام القوانين وكامل الاعضاء لان رئيس البرلمان عمله واضح وهوعرض قانون اواواوالخ على اعضاء البرلمان وهم من يحددون الموافقه عليه بالتصويت او الرفض فقط لذلك لماذ يتم تغييره وهم من اختاروه ولذلك لايجوز اقالت رئيس البرلمان من منصبه حتى انتهاء فترته المحدده غصبا عن رئيس الدوله واعضاء البرلمان واياكم اللعب بالقوانين والانظمه والدساتير ولهذا لان السلطه التشريعيه سلطه مستقله مقل القضاء عملها واضح محاسبه الدوله ورئيس الدول واعضاء الحكومه والسرق والعابثين بالمال العام والخاص وماهي الاستثمارات ووالخ,2,0
be smart go home,2,0
the american nightmare,2,0
experience speaks,2,0
amen,2,0
puke,5,0
amen amen he says to all of us,2,0
we are going to find out about the power of women,5,0
the plant in belvidere stayed open but how many other uaw plants in il closed,2,0
5651 phantoms without foodwatermedeciine,2,0
pershendetja me pelqen shum qete,2,0
nuk guxoj bazen ushtarake amerikane shum afer 1 apaqi,2,0
qysh deshironi zgjithne vetum pajtim gjithve,2,0
who brought me here to this,4,0
هلا وغلا من غلقلب وترحيب حار بالجميع من القلب,2,0
اذا وافق الجمهوريون والدينقراطيون بالترشح على العين والراس طبيعي,2,0
well done grandpa slava ukraine,3,0
thank you mrpresident,5,0
trum jail 2024,4,0
we are all in grave danger on multiple fronts open your eyes,3,0
what a circus the world is watching,3,0
four more years four more years,4,0
4 more years 4 more years,3,0
say her name joe laken not lincoln riley,3,0
at least she has it right knows what is most meaningful,3,0
how can maria shriver look exactly as she did 20 years ago does she have some artwork in the attic,3,0
this is so orchestrated,3,0
c what kind of tv station cant find the time to include subtitles in multiple languages,3,0
i want to hear more about the potato chips in the bag,3,0
please ad subtitles in united states launguage,4,0
failure,4,0
its about laken riley remember abbey gate,4,0
i feel like im getting yelled at,4,0
congratulations,4,0
cometh the moment cometh the man,3,0
that was great,4,0
such lies and bullshit here its disgusting,4,0
laken riley say her name,3,0
baby murderer,3,0
thank you,3,0
lets see a debate,4,0
that was dynamite lets do this,3,0
show us the dislikes,4,0
jesus he nailed it,3,0
this was awesome,3,0
yess ban on assault weapons,3,0
the drugs start to wear off and about the 30 minute mark its all downhill from there,3,0
scum gathering around to get their daily dose of feces from the demented potato,3,0
this hour was goood for my soul,3,0
well 37 seconds is all i could take im outta here,3,0
this is comedy gold,3,0
how utterly embarrassing,4,0
yea just ignore the fact that you abandoned 13 marines in afghanistan,3,0
now i know whos cocain3 they found in the white house,4,0
happy day for everyone,5,0
look a puppet theater,2,0
going back to almost a century ago is absolutely nuts,2,0
black history course is mandatory in canada,6,0
wow,2,0
the best state of union address ever,2,0
senile and loud,2,0
i have really missed ringling brothers circus especially the s,2,0
history is not the only one watching god is watching,2,0
you keep saying what you are going to do but what did you do in the last 4 years,2,0
if your were smart you wouldnt need to be trying to have your opponent locked up,6,0
same lies different year,2,0
слава украине слава свободному миру,2,0
decided to watch paint dry in my living room instead,2,0
trash,2,0
and if you believe that,2,0
vomit,6,0
four more years,6,0
if i were smart hunter is smart fjb maga 2024,2,0
donny eat your heart out,2,0
truth thank you,6,0
this is bs,2,0
you say you want to do this and you want to do that why havent you already done it,6,0
the picture of perfection well done sir thank you thank you thank you,2,0
lets go brandon,2,0
subtitles please,6,0
worse ever,2,0
do they have an open bar at these events or are they just high on their own supply,6,0
президент джо байдэн всегда побеждает,2,0
but your not smart just dosed properly,2,0
lets go,2,0
who made the backlog so big its 3 years old,2,0
i always wondered what the term empty headed meantthen i saw kamala harris and immediately understood,2,0
i think a spotted a rainbow behind biden and a unicorn flying around the chamber,6,0
dont act like a savoir or a hero to the monster u created,2,0
awesome,6,0
dark brandon 2024 fdt,6,0
hes still going to lose,6,0
bravo,2,0
no on actually believes this crap right,2,0
nailed it 3,2,0
jan 6 lies continues,5,0
darkest of days did we forget 911,2,0
i cant even stomach this,2,0
what a major pack of lies,2,0
they eyes are dark as hell,2,0
how much of that is bs,2,0
look at history and wat happens when the guns go,2,0
good man,5,0
respectfully but 3758 was so badass oh helll yeahhhh,5,0
4 more years,2,0
history is watching in gaza too,2,0
id be a millionaire if paid 100k for each time kamala stood up,2,0
love this guy,2,0
theres an evil aura and presence around them i cant explain it,2,0
an important moment in history and cnn montizies it thanks,2,0
448709 views those must be all the morons believing this,1,0
dark brandon strikes again,2,0
four more years,2,0
228k views and only 5k likes is no wonder they hide the dislikes,2,0
the way the reds behaved throughout was disgusting,5,0
anger is the trait of people who know are losing,2,0
lincoln,5,0
i couldnt even get through a quarter of this insufferable mess,2,0
january six was a set up a royal set up,2,0
this folks is the definition of puppet,2,0
roe needs to be law of the land,5,0
what is with the howling dogs at the end of every statement,5,0
i be winner not really,2,0
so many lies,2,0
this is just a bunch of crap delusional,2,0
4935 sure you areyour just blowing co2 buddy,2,0
please let mars attacks happen in real life,2,0
i preferred rfk jrs response,5,0
dog and pony show,2,0
garbage message from joey,1,0
brain dead,1,0
thats the most exercise these mfers have gotten in a long time,1,0
ich bin ein berliner we are living in a plutocracy sigh,1,0
stand and fight as 1 in the free world,1,0
heels up harriss latex neck is looking a bit loose,1,0
where in the hell are the fact checkers,1,0
the greatest story never told,27,0
my man,1,0
at edge of collapse and they all are happy,27,0
vоting fоr jое is likе сhесking thе i hаvе nо brаins bох,1,0
best part was that it ended what trash,1,0
maga,1,0
one nation under god,1,0
how bout hunters gun,1,0
จรงไหม,1,0
4041 is a moment that will live forever,28,0
cant wait for all the fact checks to come out pinocchios,1,0
every bit of this crap is demonic we are in deep trouble,1,0
habitual liar,1,0
we will not walk away,87,0
cocaine is one hell of a thing,1,0
what an asshat,1,0
thats my pres china joe briben llc 2024 vote for the brand,1,0
little mikey looks so small in this big seat hakeem jeffries will fit it much better,105,0
kids dont do drugs,1,0
mike love do you have ibs,25,0
yay for baby killinghe saysless people to help,1,0
ceasefirenow,1,0
that woman in red with red cap losts her way she thinks she is watching super bowl,135,0
yesss i just love having no boarders keep up the great work mrpresident,1,0
so much class especially mtg,1,0
the scotus jab was brilliant and well deserved,133,0
what the hell was that,1,0
contrived news network,1,0
kamela looks like a stooge,1,0
fabulous,1,0
i hope we dont get a www3 i am too young for that shit,1,0
not bad for an og,1,0
marjorie taylor greene look like a clown out there in that maga hat,1,0
zinged the supreme court love it,1,0
