comment,biden_stance,trump_stance
biden needs to check in to the closest dementia unit where life is beautiful all the time,AGAINST,FAVOR
we love trump,NONE,FAVOR
you have to deport people that are here right now illegally because what kind of american system is this when illegal foreigners just come on in for free that not fair for all the other people that sacrificed worked hard waited a long time to just try to come to this great country to have a better life and future in a legal and right way the it should be but some of these people just come on in and they give them everything health care even a home to live in etc and our taxes also go to these people but the government doesnt help us when we need it is that fair no this is a country of all kinds of people from everywhere but we have to do stuff right,NONE,FAVOR
is it bad i was cackling when biden went from to to to,AGAINST,FAVOR
lolyour a winersomething snnapped in you when you lost,NONE,FAVOR
why cant politicians answer the actual questions and give specific responses,NONE,NONE
this is soooo entertaining,NONE,NONE
the morals of an alley cat,NONE,NONE
the 3 year age gap 7881 seems like a really really really big gap,NONE,NONE
i hatehatetrumphe always no matter where he is has to try and belittle president joe biden trump is the one who stole money from everyonelied cheated and just downright rude i d be ashamed to vote for himhe shouldnt even be on the listwhat is wrong with americansall the trouble he caused hes a criminal why would the usa want him back god bless you all not that our prime minister is any better,FAVOR,AGAINST
our world is very and very disguatting amen king yours 9999,NONE,NONE
now that kissinger is dead who rules us presidents,NONE,NONE
so this was a waste of time,NONE,NONE
dont change the hot topic he wouldnt denounce the proud boys,NONE,AGAINST
trumps a master manipulator and habitual liar too,NONE,AGAINST
this is a parody worse than snl,NONE,NONE
i went right back to see what american presidential debates looked like in obama era httpsyoutubes_wmnvbjdmwsi8pp3tukyoahc5n2e,NONE,NONE
and the winner will be decided after a golf match,NONE,NONE
thanks to kill tony all i can see is shane gillis and adam ray dudes crushed it,NONE,NONE
that npc has a bit of lag,NONE,NONE
are they going to throw fish in eachother cars like in grumpy old men,FAVOR,AGAINST
trump cant seem to get to the point his like im going to the store but hey i see a tree and motocycle oh i remember going on a bikeride and had the best ride and his son is criminal and he is criminal what is this show i hope for gods sake that we will get a good candidate from the democrats as biden has resided no body normal laughs and disrespect an ageing man thats so low and disrespectful,FAVOR,AGAINST
i cant continue ro watch this watch the bold faced lies and bs that is coming from the evil qnd black hearted biden,AGAINST,NONE
httpsyoutuberiiih06xatqsics25gcvyw2_zq9m judge frank caprio one of the best judge in this time he got cancer and got health back he joined the court again see a small video about him and know how he got all this respect him this video is to tribute to him,NONE,NONE
god bless us,NONE,NONE
wtf is biden normal his eyes didnt fucking blink wtf man just wtf,AGAINST,NONE
childish quarrels this is not debate i called this in our language basolanay finger pointing blaming each other,NONE,NONE
but he could be a convicted felon as soon as he gets out of office trump damn right he could be,NONE,AGAINST
america is so corrupted country by far that there is no hope for it i cant believe these 2 are presidents one is convicted felon the other is on hes death bed free palestine,AGAINST,AGAINST
common you two hop on minecraft,NONE,NONE
the moment biden look at trump is like ave heard the snake talking our language,FAVOR,AGAINST
me anytime im bored comedy central dtjb presidential debate,NONE,AGAINST
a humble request to the international community to save the common students of bangladesh from dictator murderer hasina murderous dictator hasina is shooting common people like birds to maintain her power please save the people of bangladesh,NONE,NONE
a humble request to the international community to save the common students of bangladesh from dictator murderer hasina murderous dictator hasina is shooting common people like birds to maintain her power please save the people of bangladesh,NONE,NONE
im representing zambia in the comments chindo gervas simwinga,NONE,NONE
who is here after joe dropped out i knew before this played out trump is more sound minded and in bette health listen to his mouth piece joe fumbling confusing people my goodness,AGAINST,FAVOR
easy win for mr trump,NONE,FAVOR
how did the us of a get to this it is very flabbergasting,NONE,NONE
tell us something important like increasing social security benefits or minimum wage the rest like every four years is bla bla bla but nothing is ever done for most of us,FAVOR,NONE
the current leader of the free world fudge the debate debate why is he still presadenting,FAVOR,AGAINST
this gay biden is soo evil gayhe is soo soo evil eyes never lievery bad bad person,AGAINST,NONE
ive never heard so much malarkey my whole life,FAVOR,NONE
people like trump should meet barack obama,FAVOR,AGAINST
why joe never blink his eyes,NONE,NONE
whos here after he quit the race,NONE,NONE
had no clue of the words that came out of biden,AGAINST,NONE
joe dropped out of the race,AGAINST,NONE
bank statement plz pending once again lost 15 years the out of wedlock coolers for is he in army,NONE,NONE
we are cowboys always even my staff my money my right they avoiding court of law almost 25 years,NONE,NONE
college khel not original they for 99 anyhow it was meant to be one time 47 to like 7 years 8 or 9 max the staff to work for me my family on 99,NONE,NONE
dragging saying mad madeleine colours given prior to family members deaths just age from 100 fell to whatever 43 46 69 72 etc,NONE,NONE
copy to do copy sent home to pick stuff is this really done such treacherous deceit,NONE,NONE
offices running maintenance of woman not even trying prince of india to apper,NONE,NONE
that thousand yard stare with the mouth hanging open 81 million ballots guys,FAVOR,AGAINST
college hostel doing women everywhere before marriage too gajiabad sector 52 sister after marriage east patel nagar shelly wife is sector 52 metro apartment sister all lies,NONE,NONE
we want to see like this kind of debate in our country india modi vs rahul gandhi,NONE,NONE
wish cnn can host this debate for nigerias presidential candidate,NONE,NONE
u need to restrict or change the situation in uses and buying of guns in united states,FAVOR,AGAINST
look at trump man so fit tough n alpha god bless that man,NONE,FAVOR
biden should take rest home for the aged let trump manage america hes active and energetic,AGAINST,FAVOR
are you sure this biden is not an ai robot,AGAINST,NONE
biden will vote for trump,NONE,FAVOR
trump rightmany american needs helpbut biden donate billion dollar to other counrty,AGAINST,FAVOR
so this was not a political debate it was a shit talking session when biden can complete a sentence that is,AGAINST,FAVOR
lets talk about whos better at golf,NONE,NONE
its weird to see mark look human still a scumbag i dont trust him,NONE,NONE
trump never look at biden and thats good for him not seeing him in the eye,FAVOR,AGAINST
why then are there still so many homeless veterans who are trying to survive out on the streets i see someone who was a veteran and is sleeping rough on the streets of new york he does live videos on tiktok in the hope that people will help him to get off the streets his name is michael smithson look him up what kind of help did he get he used to be a marine for christ sake a former marine who is sleeping rough on the streets of nyc he wasnt taken care of when he came home disgraceful,FAVOR,NONE
is there any other candidate,NONE,NONE
when biden said your the sucker your the loser lollll,AGAINST,FAVOR
holy shit this was hilarious,NONE,NONE
does anyone notice that biden has signs of cva,AGAINST,NONE
give me some subtitlesim sorry biden,AGAINST,NONE
what happened to bidens voice,NONE,NONE
trump under joes administration the whole world is under him true aye,AGAINST,FAVOR
i wish trump is the next president of united state i like him,NONE,FAVOR
wtf is going on with joe elder abuse for real,AGAINST,NONE
trump is a con man who seeks to divide american society racism is being used as a weapon by a president who represents the interests of billionaires like him the whole thing is a hoax we have to be smart about donald trumps racism first its a political strategy this is donald trump as a con man his game is to cause racial hatred and then turn around while society burns the broader strategy is to say that some people are undeserving and that is why we need to dismantle government programs that transfer wealth from the rich to the rest of society the illegals are crossing they are robbing you they are invading our hospitals they are invading our schools thats the rhetoric but underneath that is a policy agenda that says cut entitlements social security health care funding for schools for clean water for our cities for our rural areas the political agenda narrows in government programs that require high taxes on the rich,NONE,AGAINST
always donald trump love and regards from india,NONE,FAVOR
biden mean while me,AGAINST,NONE
poor joe needs to number his thoughts number 1 number 2 number 3,AGAINST,NONE
watching this from the philippines i am amazed that trump debated with chat gpt,NONE,NONE
in india like this interview not possible,NONE,NONE
