comment,likes_count
this is elder abuse,10454
trump 2024,2421
there are moments when biden looks like he loses internet connection,1984
they arent even answering the questions at this point theyre just roasting each other,1256
trumps whole strategy was never intrupt your enemy when he is making a mistake,1161
anyone who was watching the debate as a nonamerican please do not rewatch it we would like to keep our family humiliation private thank you,981
foreigners if you understand bidens speech your english is brilliant,903
trump when biden speaking biden when trump speaking,867
when youre 80s you cant drive a car but you can run a country,863
im a 65 year old american the past few years have been the worst in my lifetime,822
biden once said diwpquewhewihewygorwrhr,758
joe biden looked like a malfunctioning robot when he first stepped in to the podium,741
biden stands there as if its his first day on earth,528
basically the presidential debate trump biden sucks biden um u mmfff,515
this would be funny if it had no implications on the lives of millions of people,437
did biden really say that groceries that use to cost 110 now only cost 120 where the hell is he shopping at cause my groceries doubled if not tripled for the same groceries 2yrs ago come on dude stop lying and get out the way,396
biden started strong and it lasted a literal 3 seconds before he fell apart lmao,395
my buddy and i are both chinese we did a drinking game while was watching these two debate every time trump said china i had to take one shot every time biden stumbled he had to take one shot well this game only went on for 30 minutes cuz biden made my bud passed out way too fast,395
best snl sketch ive ever watched,381
biden trying to remember where he saw this guy with the red tie before,362
as an african i cannot believe this is what a presidential debate in america looks like,354
i actually feel bad for biden when you look at his vice presidential debate from 2012 and even the 2020 debate you can see how much he has degraded,351
can biden go to bed and enjoy his old age with his grandchildren please it sucks,349
350 million people in this country and these are the two best people theyve found for the job its comical and yet so incredibly sad at the same time seriously,324
reminder if guy as incoherent as biden can run a country you can do what you need to do just fine,315
who knew trump was 78 he looks 20 years yoinger than joe,305
im amazed how trump kept such a straight face,304
trump speaks biden,302
regardless of bidena age his health looks like its deteriorating trump is only 4 years younger than biden and looks sharp as a tack,301
trump speaking biden thinking wheres my icecream,298
geez there is a point when you have to tell your elderly dementia family member that they can no longer drive and youre taking their keys,296
trump dominated this debate biden doesnt even know where the hell he is,290
i dont know what he said and i dont think he knows either,279
respect to cnn for actually being fair and letting us comment thanks for being admirable for once,275
hearing joe speak is the biggest cringe ever,273
this is like watching two brothers proving their case to their parents,262
well he is right he did beat medicare he beat it to death,258
joe biden everybody trusts us us population,255
im bidens coke dealer sorry for being late,250
whenever biden looks at trump its like hes witnessing a phenomenon,248
im not a trump supporter but man trump need to be awarded for keeping a straight face,243
biden sorry sir you need to leave the white house asap,238
never interrupt your enemy when he is making a mistake,237
at least trump is alive biden is a parody of the walking dead series,225
biden has that look like when you go to the fridge looking for something and after opening the door you forgot what you were looking for d,220
why didnt they include the part i dont know what he said and i dont think he knows either,215
because of his ridiculous insane and very stupid policies luckily trump prepared the best arguments,213
hes right he did beat medicare lol,212
its like donald trump debating ozzy osbourne,212
trump speaks joe biden i dont even know who this man is,211
as a non americanwtf did this happen i can hardly understand a word that dudes saying,199
im a brit so not that fussed on the us election but biden comes across like he has dementia,191
biden responds like using chat gpt with those enumerations,185
are 2 presidents really comparing their handicaps,185
joe biden looked so surprised every time donald trump talked and then when biden talked donald trump looked like he didnt even care,184
this doesnt feel like a presidential debate at all,175
as an australian i thought we were screwedgod help america you guys are are in trouble,170
the way biden looks at trump is so funny,170
biden always talks about the last thing trump said because he doesnt remember nothing but the last phrase,164
its so cruel and elderly abuse to place an old man with dementia on stage to make public speeches his family should be ashamed of themselves for not allowing him to enjoy his retirement with grace and dignity the lesser of the two evils is obvious with this debate,162
300 million adults in the most powerful country in the world yet these two were the best people we could find to lead it,160
after watching this putin is laughing in the corner holding vodka,156
im from canada laughing my ass off until i take a look at our leader,151
at this point they should skip the debates and do diss tracks,150
we have a thousand trillionaires in america,147
go back and watch the bush jr and gore debate and youll realize how goofy america has gotten in the last 24 years its like if disneyland was a country,146
the saddest part is that those two are the best the county has to offer for presidency run 2024,144
the way biden looks at trump when hes talking,142
youre the sucker youre the loser turned very personal and comical,142
joe looked bewildered confused and overwhelmed the entire time his eyes showed constant fear that he wasnt aware of where he was,139
cmon america cant you get a president a little older we need someone in their 90s,138
omg 1 minute and 40 seconds in and hes already jibbering nonsense be kind and get joe to the nearest place of carefortheelderly this is embarrassing,138
this isnt a debate its two old men fighting each other for the most important job in the country,136
the beginning of the debates are the funniest thing its like watching the auditions for american idol youre sure to get a laugh,135
biden starts gibbering trump,134
131 with the covidi skibidi with,133
the golf part was hilarious,131
i feel like im at a parent teacher conference,129
biden looked like a dying batteries in my water heater,129
i self identify as a democrat biden cant beat trump biden needs to retire,129
i like how i searched for the highlights like a football game,123
this is not a debate this is roasting,122
take the letter p from president bidens title and make him a resident of the dementia ward,122
every time i need a laugh i come back here and this comment section is even funnier,119
btw in europe this is comedy,118
so in a nutshell 2 dinosaurs debate whos gonna go extinct first and take the whole country with them,116
