comment,biden_stance,trump_stance
unsteady biden a subdued trump the debate analyzed httpsyoutubemewbfi9t1zssipdgghc69olmqjdd,AGAINST,FAVOR
biden is no match for mr trump trump is too smart and rightious powerful strong and humane he really cares about his people,AGAINST,FAVOR
president biden he ill be the next president of america people trump must respect the american citizen what decided time he was president,FAVOR,AGAINST
trump did nothing he broke records doing good,NONE,FAVOR
does sloppy joe have an ear piece in let me find out yall was helping him answer them questions and he couldnt keep up,AGAINST,NONE
the most heated debates are always the ones with trump present,NONE,AGAINST
biden is a powerful president of america people,FAVOR,NONE
biden hes a man he changed american people trump must step aside away from the race of presidentancy bse he was there and feld nothing this can do for american people in history trump is not,FAVOR,AGAINST
trump is a liar he feld let him to another thing not compilation,NONE,AGAINST
joe biden is out period period,AGAINST,NONE
this will probably be the oldest presidential debate in history and its an honor to be alive during this time,FAVOR,NONE
the ideaand by the waynumber 1number 2,NONE,NONE
rahul gandhi should debate with modi like this thats real democracy,NONE,NONE
what whyyy why did the united state even choose biden for president trump rumbling and biden mumbling,AGAINST,FAVOR
very good to listing,NONE,NONE
biden looks like that offended cat meme the whole debate,AGAINST,FAVOR
funniest thing ive seen all year,NONE,NONE
does biden know that lying is a sin or what,AGAINST,NONE
donald too old and senile to compete with a much younger energetic and more capable candidate,NONE,AGAINST
trump is like and this guy,NONE,NONE
no one gonna talk about how biden said put bleach into your arm referring to the vaccine he highly recommended to take almost forcefully people lost their lively hoods when jobs demanded it to be done,AGAINST,NONE
idc about no political parties i follow who i vote because i just wanna go to walmart and buy my grocery without paying an arm and a leg,NONE,NONE
i cant even make fun of biden considering how much i respected him in his prime i can only feel bad that hes declined like this he just needs to retire and spent his time with his family for once hes worked for too long,AGAINST,NONE
go harris go,FAVOR,NONE
trump lied and lied knowing biden had absolutely no mental capacity to rebut he ran over joe like a tank against a vw beetle,FAVOR,AGAINST
3 weeks later biden dropped out of the race not surprised,AGAINST,NONE
at this point joe biden cant even call himself a fluent english speaker,AGAINST,NONE
hes not in the race anymore hehe,NONE,NONE
this video is funnier than any try not to laugh video out there,NONE,NONE
trump is right all the way,NONE,FAVOR
after everything thats happened regarding politics this month got me binge watching past debates and rallys trump 2024,NONE,FAVOR
i weep at the thought that we wont see another legendary debate between these two giants,FAVOR,FAVOR
mr trump aka mr misinformation,NONE,AGAINST
my legs are dying just watching them for standing almost 2 hours,NONE,NONE
whos here after joe biden dropped out of the presidential race,AGAINST,NONE
trump lost me when he said hamas invaded isreal,NONE,AGAINST
i had a good job when trump was around inflation went sky high when biden was president,AGAINST,FAVOR
the idea the idea the idea the idea lol,NONE,NONE
the problem with the democrats is that they are blinded by their personal hatred for trump which is all their campaign is about rather than what is actually good for their country it is so obvious weird and strange,AGAINST,FAVOR
call it what it was pal a disaster ill debate you any time anywhere name the place pal i hear youre free on wednesdays he was a joke during his stolen election and he has always been a liar pal you guys have taken advantage of a sick man you all should be placed behind bars,NONE,AGAINST
if you actually listen to what biden says he actually makes it lot of sense but admittedly i am stoned i hate trump by the way,FAVOR,AGAINST
it seems like trump gets more minutes to speak than biden its also litle weird seeing to men talking about the abortion law what do they know i know they are the spokesmen but anyway this just shows that we still is living in a mens world,FAVOR,AGAINST
who is here after the kill tony episode,NONE,NONE
we had the best environmental rates ever and yet 2023 was the worst year of the climate change disasters yet trump does not care,FAVOR,AGAINST
john biden are honesly guy who gave refugee chance to came down unite staate we can say without john biden ameerica will be bad future that is what think guys,FAVOR,NONE
donald trump absolutely torched joe biden at the 110112 mark trump has my vote,AGAINST,FAVOR
come visit yakima washingþion you hate it,NONE,AGAINST
we shouldnt expended so much money on that war,NONE,NONE
trump is sharp i love the guy joe biden cant even speak in whole sentences trump was like yeah he is right he did beat medicare to death lol,AGAINST,FAVOR
you were a fool to forgive an enemy i dont know when you will learn the age of civility is over,AGAINST,FAVOR
are we not gonna talk about how joe literally wasnt able to speak the 12 minute mark,AGAINST,NONE
long live trump,NONE,FAVOR
i really appreciate how this debate was moderated pointed questions asked to both candidates strict time limits respectful behavior from the debate facilitators i appreciated not having people yelling over and interrupting each other a wellorganized debate,NONE,NONE
the idea the idea,NONE,NONE
he really stood up for over an hour without falling over,NONE,NONE
i wont be able to retire if it keeps going on this way i cant even take a day off cause of the cost of living i havent stopped working to over 2 years cause i get behind due to the cost of food and just living i dont have insurance i have to pay out of pocket,NONE,NONE
puppet lost all the batteries and is ready to throw in the trash time to change puppet,NONE,NONE
slow biden be killing me with that the ideal comment and what we did for medicare and trump said yeah you beat it to death they like 2 old grandhogs out there battling,FAVOR,AGAINST
i have never watched a presidential debate and gotten a headache no matter how many times i exist and returned to continue watching until now mercy to both of you target on the question without personal feelings if you feel personal imputs are necessary add it at the end after addressing the question first with factual recollections,NONE,NONE
i hope the public is keeping track of poll s,NONE,NONE
biden always sounds like he needs a pint of ice cold water after watching this i really do wish dt becomes the president of the usa more so after his last term and most definitely after bidens mess of a presidency,AGAINST,FAVOR
this debate was an audition for joe biden to remain on the job and he failed,AGAINST,NONE
posible trump will wins soon,NONE,FAVOR
2020 debate was fun to watchbut this is sad,NONE,NONE
i feel sorry for biden not a well man trump is pure comedy im from the uk and he entertained me throughout covid with his anticscomedy gold,NONE,FAVOR
the economy is in fluxed because biden took office,AGAINST,FAVOR
whos here after this made biden drop out,AGAINST,NONE
trump went savage on this,NONE,FAVOR
poor biden he looks so out of it,AGAINST,NONE
trump literally rants about the same thing its exhausting to hear,NONE,AGAINST
the more i look at biden the more he looks like mr burns the cartoon,AGAINST,NONE
i feel sad for joe biden he is getting too old n couldnt speak out condidently i love him too though i love trump,AGAINST,FAVOR
poor joe wondering why hes running against alec baldwin,FAVOR,NONE
trump president usa viva americaviva trump,NONE,FAVOR
welcome to clown show,NONE,AGAINST
cnn communist news network,NONE,FAVOR
with the drug pandemic man its has a lot to do with the state of pur country all the dept murder amoung other things its a very sad thing to see and i dont blame people for looking for other ways to find relief or just plain giving up mental health is a huge part of that too we just cant give up guys im only 22 and i dont want to be the generation that watches our world fall into a state of decay,NONE,NONE
biden himself does not have confidence in his points,AGAINST,NONE
i get it what he said but the one trying to kill him were not a hispanic,NONE,NONE
the idea,NONE,NONE
im foreigner but somehow i believe that even americans cant understand biden,AGAINST,NONE
trump speaks normally biden the idea that nr 1 nr2,NONE,NONE
its strange that biden somehow can speak i thought he can only mumble all the time,AGAINST,NONE
trump wants legal criminals,NONE,AGAINST
biden is too old for this,AGAINST,NONE
i cant believe this is real bro,NONE,NONE
facts out way peoples lies and emotions,NONE,AGAINST
wow i felt so bad for biden that i couldnt finish watching the debate he needs help,AGAINST,FAVOR
fact and reality i believe this is why they wanted to wipe you sir,NONE,AGAINST
youre definitely right mr trump,NONE,FAVOR
tjis my friends i knew your voice alway with good analysis,NONE,NONE
hello help please leave russia,FAVOR,AGAINST
marilyn mosby decided let my grandson die thats what theyve done,NONE,NONE
biden dont go to victims funerals he dont care,AGAINST,NONE
trump is a businessman my husband is a commercial electrician with over 30 years experience and is licensed in multiple states we are financially destitute and have a hard time paying for groceries even with me growing a massive garden and putting up as much food as i can why why cant we get a loan why cant i pay my debts now what happened help save us,NONE,NONE
12423 trump lets not act like children biden you are a child i found that hilarious,FAVOR,AGAINST
mr slow joe please stop projecting your issues on our president trump,AGAINST,FAVOR
ive been blocked from all medical attention,NONE,NONE
omg i see why he dropped out what is going onnn,NONE,NONE
trump is holding up not to laugh,NONE,NONE
morals of an ally cat,NONE,NONE
joe biden forever donald trump is no more trump will never know what hes talking about but biden will always have the power,FAVOR,AGAINST
climate control idk but hey clean water,NONE,NONE
this is a presidential freestyle battle,NONE,FAVOR
they dont want that poisonous fake mucus forming food from us lol smh they are crazy,NONE,NONE
am i the only one who noticed that when it came to speaking on black issues is the only time so far that he didnt have enough to say and was reminded hes got more time that didnt happen on the other questions feels like priorities are leaking through doesnt care about black wages is what it seems like to me,AGAINST,NONE
why are there kamala commercials over every trump related video seems like google might be a little liberal,FAVOR,AGAINST
i cant watch this guy for 2 mins,NONE,FAVOR
i work for unemployment this is a lie there isnt any jobs,NONE,NONE
thumb will definitely win,NONE,FAVOR
when biden said hipuitabitta hubtaph whaphabuttapht i really felt that,NONE,NONE
age and time is against joe biden he did the right thing by dropping out of the presidential race i am watching from jamaica,AGAINST,NONE
trump was right,NONE,FAVOR
honestly joe biden sounds congested but what he is saying is good i really dont know why he was said to be so terrible in this debate,FAVOR,NONE
and where did they get grocery only marked up 20 bucks more like doubled,NONE,NONE
so two kids on a group project pointing fingers arguing who did what and nothing on real issueschange needing to take place grand we have a lot of brilliant people in this country why are they not running for president,NONE,NONE
after that i dont need to whatch any comedian show for at least one week,NONE,NONE
ill be honest unless youre brainwashed into believing blue is the only way i dont know how you could vote for harris at this point minorities shouldnt like her for her time working in lawsee some of her work in that position she acts very aggressive and rude which dont get me wrong trump can also be guilty of as well but its at least funny when he does it she much like hillary seemingly hates anyone that doesnt agree with her and i doubt even many women would want to see her in office as having her as the first woman president would almost guarantee we wouldnt have another one given how little confidence she has instilled in the american people as a vp i thank her for her time working as the vp of our nation and im certain that not all of her efforts have been fruitless but honestly taking away personal appearances what is there to like about her,NONE,FAVOR
talking about porn golf an sucker and loser in a presidential debate is crazy work,FAVOR,AGAINST
i would rather have an old but wise biden to run any country than a mad man with no manners,FAVOR,AGAINST
you could see the difference of joe bidens performance in his presidential debate in 2024 as compared to almost all of his previous debates most people are not aware about biomedical biometric hackingnanotechnology brain machine interfaces systems of internet of things weaponization of everything etc work that could affect the wellbeing of a mass or a targeted individual if you are not aware of the nature of these you are not aware of how fragile and dangerous our world is has become,AGAINST,NONE
joe looks like hes stuck in a constant ww1 dramatic movie scene,AGAINST,NONE
we all know why they added the rule to turn the mic on and off,NONE,NONE
im disappointed i really wanted to hear what they were going to say about lowering the daycare costs i have 3 kids and going to work full time me alone is not cutting it along with the high inflation rate,FAVOR,NONE
why do they talk like white people dont matter or blackhispanics are belittled citizens are citizens why all the race,FAVOR,AGAINST
bidens face when he brings up the fact he called black people super predators in the 90s was a look of shock like he had a flashback to when he said it and only just remembered sad this is the state of politics in the us an old man who must have more helpers than santa and a narcissist who cant accept defeat or be humble for a mistake on any level iffyou check the claims of both of the statements they make whether its the economy foreign affairs etc theyre both hyperbolic to prop themselves up and punch the other one down lying to themselves and the public,AGAINST,AGAINST
2900 biden got cooked here too bad the founding fathers arent here they would sentence biden for treason,AGAINST,NONE
wish harambe was on the ballot again,NONE,NONE
im not even american and while i definitely was a big fan of biden in 2020 i do particularly enjoy everyone unified over this debate performance being bad,FAVOR,AGAINST
on the right a poor old man with a enthusiastic wife behind him take a look in history at anna eleanor roosevelt,NONE,NONE
joe will drop out,AGAINST,NONE
i love us presidential debates even if i dont live there,NONE,NONE
trump said he really beat medicare to death,FAVOR,AGAINST
why does everyone act like this is an embarrassment on both sides trump is sharp and articulate,NONE,FAVOR
seriously biden said if the rich pay 25 of their earnings to the gov could get us out of debt within 5 years are you kidding me why should the rich pay for the gov messing up gtfoh,AGAINST,FAVOR
just watching this on july 22 hits different i imagine,NONE,NONE
the idea,NONE,NONE
biden saying the middle class was devastated by trumpwhat a joke food and inflation has quadrupled under biden trump gave people more money take home in their paychecks the interest rates on the housing market is out of control under biden cars no one talks about the increase of the price of cars since biden in office at first it was the aftermath of covid bc of production shortages but that was 4 years ago the price of cars is crazy how much theyve gone up everything more expensive and getting worse,AGAINST,FAVOR
if trump saves the palestinians i will support him too from now on,NONE,FAVOR
trumpwho endorsed me for president but i wont say that but they endorsed me for president is absolutely crazy,NONE,FAVOR
comprehensive spech expect,NONE,NONE
its ridiculous how far i had to scroll to find this after searching for the exact title,NONE,NONE
if biden win the election the great america will sleep biden needs to retired he is so old looks like he can even talk properly due to his old age is there any other young and energetic person to be a president candidate for both of the party huizzzzif i were an american i will surely vote for trump,AGAINST,FAVOR
biden is a war criminal who will answer for everything,AGAINST,NONE
presidential debates should be fact checked on the spot by a panel of 3,NONE,NONE
and now this wannabe president dropped out joe was the worst president in the history of america,AGAINST,FAVOR
i can not understand how anyone can discredit mr donald trump he is the salvation of america,NONE,FAVOR
everytime joe biden says the idea take a shot,FAVOR,NONE
biden doesnt even believe his own lies biden ruined america and is a liar as trump statesweve seen these thing come to pass and biden still says they arent true what a farce,AGAINST,FAVOR
my favourite comedy movie america,NONE,NONE
this is very tough for biden he looks very frustrating,FAVOR,NONE
to make someone believe first and foremost speak clearly and i dont think joe biden can do it thanks to bidens speech in the debate i have another materials for my students to practice english listening for their ielts test,FAVOR,NONE
and by the way,NONE,NONE
who after biden resignation,NONE,NONE
the idea that joe still think hes good fit for the job is shocking,AGAINST,NONE
baiden is a fearoooooooo this shows that trump is already triumphant,AGAINST,FAVOR
trump thinking am i high,NONE,AGAINST
thee ideaa that we found ourselves in a situation where number 1 we beat medicare number 2 youre the sucker youre the loser number one and by the way,NONE,FAVOR
the question was its ridiculous how often thats said,NONE,FAVOR
i say i dont believe woman should be in positions of high power because woman can be ridiculously emotional but boy thats all im seeing is emotions overpowering reasoning its crazy lets just keep putting eachother down with terrible insults instead of explaing in front of americians why they should be the president of america,NONE,NONE
shoot i dont like biden but at least hes somewhat answering the questions,FAVOR,NONE
how are you gonna help americans in the throw of addiction that cant afford it its all joes fault its all trumps fault great answer you guys,AGAINST,AGAINST
sooooo what about childcare,FAVOR,NONE
they need to stop attacking each other and tell us why they should be the president answer the effin questions,FAVOR,FAVOR
biden made trump look like a lot more eloquent than he actually is,FAVOR,AGAINST
biden whole time hey that guy is cool i might vote for him,FAVOR,NONE
ok president biden is slow in talking but at least he is acknowledging and answering all questions trump is dodging all questions and just keeps blaming biden for everything jake and dana did hold trump focused on answering questions,FAVOR,AGAINST
the face of donald trump when biden is speaking,FAVOR,AGAINST
southwark gonna have a field day,NONE,NONE
the ideal,NONE,NONE
niether one addressed the cost of child care in reality,NONE,NONE
who else is here after biden dropping out,NONE,NONE
trump doesnt even know what climate change means he didnt answer the question,NONE,AGAINST
its like a couple boys fighting no ones answering the actual questions,NONE,NONE
1310 prolife not prochoice we need trump back in the white house to make america great again 𝗝𝗲𝘀𝘂𝘀 𝗟𝗼𝘃𝗲𝘀 𝗧𝗿𝘂𝗺𝗽,NONE,FAVOR
to all americans please vote for someone who at least has clear speech i thought youre not supposed to come to a debate drunk biden what,AGAINST,NONE
looks like a rap battle between eminem and mumble rappers,NONE,NONE
trump never takes responsibility for his evil actions,NONE,AGAINST
biden we beat medcare trump yeah he beat it to death was funny not gonna lie lol,FAVOR,AGAINST
trump doesnt even answer the questions why because hes the biggest liar,NONE,AGAINST
yes its true all of our benefits medication ssi housing etc are all going to illegal immigrants that joe is allowing in with open borders,AGAINST,FAVOR
