comment,likes_count
unsteady biden a subdued trump the debate analyzed httpsyoutubemewbfi9t1zssipdgghc69olmqjdd,2883
biden is like the internet explorer15 tabs open13 of them frozen and not having an idea where this fkn annoying music is coming from,2104
i cant talk right now im watching the season finale of the united states,1341
trumps best move was not roasting joe and just letting him bury himself,1266
there was no inflation when i became president joe biden,941
as a normal functional person this is both incredibly funny and absolutely terrifying,912
he beat medicare he beat it to death,901
biden says hes going to fix the taxes dude youve been in government for like 57 years,877
trump is ready to rumble biden is ready to mumble,801
i dont think people give biden enough credit for his excellent work at staying awake for over an hour,775
bros 1 hp,743
someone said every time biden looks at trump hes seeing him for the first time,686
bidens face makes me feel uncomfortable,668
my grandma is past 90 she speaks more clear than biden and doesnt fall asleep while doing it biden is a mummy who forgot he already died,612
trump talking and making points biden wha,605
and when i was a child i thought people who ran for presidency had to be intelligent,587
trump was ready to rumble biden was ready to mumble,584
biden when hes not talking biden when hes talking,556
2134 the way biden turned and looked at trump,521
trump speaking biden,510
wow i wish groceries only went up from 100 to 120 its actually about 280 now,500
there is no studio audience tonight biden walks out and starts waving and saying hello to the non existent audience,495
this is elderly abuse,490
cnn tonight there isnt any audience biden gestures at an unidentified crowd,478
top 3 biden phrases thats simply not true the fact of the matter is the idea that,473
everytime biden closed his eyes i thought they werent gonna open back up,462
thumbs up if you think biden peed himself during the debate,451
i had to stop watching the cnn version because they had comments turned off i support freedom of speech,451
trump ooh hes righthe beat medicarehe beat it to death best thing ive heard,446
i work at a small construction company the owner is a real nice guy but hes like 85 years old super good man took care of his wife of over 50 years who had dementia until her final day he always just eats out and very rarely goes to the grocery store he recently went to the grocery store a few days later he gave our small crew a 350 per hour raise ive worked there about 30 years i thanked him for the pay increase he teared up and said he was sad to see the state of our country and were family and have to look out for each i agreed fully and told him we are family,424
when biden said hfkvorke fofoeo i felt that,419
funny how they say no notes allowed while biden clearly keeps looking down at his notes,408
i really dont know what he said at the end of that sentence i dont think he knows either fell out of my chair laughing at bidens face after that one,399
this feels like 2 middle schoolers suddenly aged 70 years edit the replies are pro trump and i live in the uk so all ive heard about both ppl is bad tbh hope yall get someone good,395
whos here after biden dropped out,390
i am a foreigner and am truly appalled at bidens state he needs to be removed as a candidate and he needs rest seeing his reactions empty sight and slurred speech sounds like he has alzheimers or dementia very poor choice of candidate trump truly tore him to pieces some people say this debate was fun i say it was horrifying,390
my grocery bill doubled in the last 4 years,387
every time biden speaks i feel like im having a brain aneurysm,384
a basket of groceries that cost 100 in 2020 cost over 120 now man i need to shop where he is shopping more like 170,382
why cant the us have a young president in hisher 40s,373
i like how the debate rules changed to protect biden and he still got destroyed,370
this is the best standup comedy in 2024,369
im having a hard time understanding 80 of bidens dialogue he sounds like hes asleep nobody saw his condition prior to this debate unbelievable,340
the difference between 2020 biden and 2024 biden shocking that is a massive decline,337
snl doesnt need to make a parody the original is gold enough,328
if you arent even competent enough to form sentences you probably shouldnt be president,324
im positively astonished comments are not disabled on this good job on wsj to enable freedom of speech,323
yall leave joe alone hes doing a great job getting donald trump reelected,322
its cruel to make an old man pretend being a president for another 4 years,319
ok guys the joke isnt funny anymore who are the real presidential candidates,309
i still dont get how biden became president,302
joe showed us the art of sleeping with your eyes open,300
this debate made trump actually look likable and biden look like he had a stroke most of what biden said didnt even make sense,295
the idea number 1 what happened look and by the way new drinking game idea,286
ive never heard 81 million people be so quiet,285
they call it migrant crime i call it biden migrant crime this cracked me up,277
its like that cartoon skit where u got a date with a girl but youre nervous so your friend gives you an earpiece and tells you what to say but you still manage to ruin everything haha,271
nobody has commented about how black and empty bidens eyes are,267
1155 trump actually looks sad to see biden in that state,264
we the boys turned this debate into a drinking game every time joe says the idea you gotta drink,264
the eggs i buy were 289 a carton they are now 7 a carton thats just 1 item 20 increase in groceries my foot,261
how on earth there can be a president candidate who can barely even speak anymore,260
cnn notes are not allowed during the debate camera immediately pans and show biden with lots of papers in front of him what a joke,253
how could they say groceries went from 100 to 120 i pay twice as much on groceries from just two years ago its truly insane how high everything is,251
can you imagine if an actual audience was allowed to be there,247
trump while biden is talking,242
no one biden the idea,242
groceries that cost 100 now cost 250 i dont know where 120 came from,239
joe looks like hes listening to an earpiece while trump is speaking,239
biden used the phrase the idea about 150 times,238
its like listening to a drunk person after 55 shots of vodka,229
he did beat medicare he beat it to death,227
bro grocery went from a 100 to now 300 its literally insaine,219
people make fun of both of them for not answering the questions but it was cnns fault for not allowing them to rebuttal the other person thats how a debate works,218
trump 100 owned this debate,217
they want you to pay 6 of your paycheck for social security meanwhile they selling billions of dollars to ukraine these guys are nuts,213
i cant believe the comment section is still open and the public is actually allowed to give their input,212
forget having an election just have a golf match,210
not american but the world was more peaceful during trump,207
we used to have 99 cent mcchickens and 24 hour walmarts enough said trump 24,207
we have over three hundred million americans and these two are the best we can get,203
biden starts his explanation with number 1 and he never mentions number 2 and he ends with another thing entirely,203
i dont understand how can someone go and be im voting for president biden after watching this,200
what bidens family is doing to him its sad this man is confused sad and alone he needs to be home hell have a stroke donalds actually being nice to him,199
