comment,likes_count,stance_llama_8b
look at all those criminals,258,CONSERVATIVE
cnn turned their comments off edit i just realized everyone did seconds after i commented let the people speak,206,CONSERVATIVE
this wasnt a state of the union it was a state of confusion,179,CONSERVATIVE
im 62 and have heard quite a few state of the union address speeches tonight i heard literally one lie right after another despicable disgraceful sickening are a few words coming to mind,177,CONSERVATIVE
the look on johnsons face shows the true state of our nation its sad that we have a president that cares about everyone but us,169,CONSERVATIVE
one of the worst state of the union speeches ever it was full of lies and hate 405,153,CONSERVATIVE
president biden should consider running for the presidency of ukraine as his initial focus on the topic highlights his approach to governance prioritizing foreign affairs particularly concerning ukraine demonstrates his commitment and leadership despite the promising reports on the economy from economists the benefits are not reaching the average citizens who are facing challenges in maintaining their livelihoods our nation is grappling with issues such as illegal immigration and the strain it puts on resources it is imperative that president biden addresses pressing american matters before turning his attention elsewhere,152,CONSERVATIVE
amazing how much joe and this government cares more about ukraine than our own countrys problems,130,CONSERVATIVE
biden should consider running for president of ukraine since he likes them so much,115,CONSERVATIVE
he dont mention a single thing that benefits our country unreal,111,CONSERVATIVE
i was hoping to hear the potus deliver a state of the union address unfortunately gi joe turned it into a campaign pep rally mr speaker knows,107,CONSERVATIVE
how abut the afghanistan withdraw getting soldiers killed leaving billions of dollars in equipment borders is a mess crime going up new gangs appearing,104,CONSERVATIVE
im so scared for america more so now the never before,101,CONSERVATIVE
i dont understand why are you talking about ukraine charity begins at home youre supposed to serve the interests of the american people secure the border america first,95,CONSERVATIVE
close the border,94,CONSERVATIVE
4 more years of this and america is finished im scared for my children and grandchildren,93,CONSERVATIVE
this man is the biggest liar on earth bottom line,92,CONSERVATIVE
fjb,88,CONSERVATIVE
look at this theyre all laughing shaking hands joking around this is serious solemn business how about acting like it im profoundly disgusted with our representatives what a circus of hypocritical clowns,87,CONSERVATIVE
drugs are wearing off hes getting spacy,86,CONSERVATIVE
the beautiful thing about this is most of us americans can see right through this horrible speech and that gives me hope,83,CONSERVATIVE
clown show,81,CONSERVATIVE
that was not a state of the union speech it was a campaign speech his speech writers are horrendous,80,CONSERVATIVE
i dont understand all the cheering and support for another 4 years he is not capable,77,CONSERVATIVE
this was a political rally not a state of the union address all he needed to do is give the facts not tell what he is going to do,75,CONSERVATIVE
definitely not four more years,74,CONSERVATIVE
hunter to dad before the speech here dad sniff this and away we goooooooooooooooooo,69,CONSERVATIVE
i would literally vote for anyone else,68,CONSERVATIVE
biden and his minions truly sicken me,65,CONSERVATIVE
hey kamala clean up san francisco too many homeless on the streets make use of yourself,65,CONSERVATIVE
a cult applauding,65,CONSERVATIVE
this was nothing more than a state of bs the people address,63,CONSERVATIVE
id actually love our country to go back back to morality virtue godliness etc,61,CONSERVATIVE
whats pelosi doing there ugh,61,CONSERVATIVE
i was waiting for him to yell get off my lawn he was so angry and divisive it was actually sad,54,CONSERVATIVE
the republicans should have chanted no more years,53,CONSERVATIVE
mike johnsons facial expressions are pure gold,52,CONSERVATIVE
how about the safety of our boarders fzjb and his administration,52,CONSERVATIVE
all lies,50,CONSERVATIVE
i thought it was the most divisive state of the union i have ever seen for a guy that was going to bring the country together 3 years ago,48,CONSERVATIVE
this is just pitiful biden should move himself and his administration to ukraine hes worried about their wellbeing more than the needy of the united states,47,CONSERVATIVE
the angriest political speech in my lifetime how could he start with ukraine he was well medicated and rambling couldnt get trump out of his mind without mentioning his name had no idea what is going on in the country,47,CONSERVATIVE
hes the threat to our country,46,CONSERVATIVE
that was the biggest lie fest i have ever watched next to willis and wade,44,CONSERVATIVE
the crowd chanting 4 more years is crazy,42,CONSERVATIVE
if i was smart id go home now he aint wrong,41,CONSERVATIVE
delusional and embarrassing,41,CONSERVATIVE
