comment,likes_count,sentiment_llama_8b
look at all those criminals,258,NEGATIVE
cnn turned their comments off edit i just realized everyone did seconds after i commented let the people speak,206,NEUTRAL
this wasnt a state of the union it was a state of confusion,179,NEGATIVE
im 62 and have heard quite a few state of the union address speeches tonight i heard literally one lie right after another despicable disgraceful sickening are a few words coming to mind,177,NEGATIVE
the look on johnsons face shows the true state of our nation its sad that we have a president that cares about everyone but us,169,POSITIVE
one of the worst state of the union speeches ever it was full of lies and hate 405,153,NEGATIVE
president biden should consider running for the presidency of ukraine as his initial focus on the topic highlights his approach to governance prioritizing foreign affairs particularly concerning ukraine demonstrates his commitment and leadership despite the promising reports on the economy from economists the benefits are not reaching the average citizens who are facing challenges in maintaining their livelihoods our nation is grappling with issues such as illegal immigration and the strain it puts on resources it is imperative that president biden addresses pressing american matters before turning his attention elsewhere,152,NEUTRAL
amazing how much joe and this government cares more about ukraine than our own countrys problems,130,NEUTRAL
biden should consider running for president of ukraine since he likes them so much,115,NEUTRAL
he dont mention a single thing that benefits our country unreal,111,NEGATIVE
i was hoping to hear the potus deliver a state of the union address unfortunately gi joe turned it into a campaign pep rally mr speaker knows,107,NEUTRAL
how abut the afghanistan withdraw getting soldiers killed leaving billions of dollars in equipment borders is a mess crime going up new gangs appearing,104,NEUTRAL
im so scared for america more so now the never before,101,POSITIVE
i dont understand why are you talking about ukraine charity begins at home youre supposed to serve the interests of the american people secure the border america first,95,NEUTRAL
close the border,94,NEUTRAL
4 more years of this and america is finished im scared for my children and grandchildren,93,NEGATIVE
this man is the biggest liar on earth bottom line,92,NEGATIVE
fjb,88,NEUTRAL
look at this theyre all laughing shaking hands joking around this is serious solemn business how about acting like it im profoundly disgusted with our representatives what a circus of hypocritical clowns,87,NEGATIVE
drugs are wearing off hes getting spacy,86,NEUTRAL
the beautiful thing about this is most of us americans can see right through this horrible speech and that gives me hope,83,POSITIVE
clown show,81,NEUTRAL
that was not a state of the union speech it was a campaign speech his speech writers are horrendous,80,NEGATIVE
i dont understand all the cheering and support for another 4 years he is not capable,77,NEUTRAL
this was a political rally not a state of the union address all he needed to do is give the facts not tell what he is going to do,75,NEUTRAL
definitely not four more years,74,NEUTRAL
hunter to dad before the speech here dad sniff this and away we goooooooooooooooooo,69,NEUTRAL
i would literally vote for anyone else,68,NEUTRAL
biden and his minions truly sicken me,65,NEGATIVE
hey kamala clean up san francisco too many homeless on the streets make use of yourself,65,NEUTRAL
a cult applauding,65,NEUTRAL
this was nothing more than a state of bs the people address,63,NEGATIVE
id actually love our country to go back back to morality virtue godliness etc,61,POSITIVE
whats pelosi doing there ugh,61,NEUTRAL
i was waiting for him to yell get off my lawn he was so angry and divisive it was actually sad,54,POSITIVE
the republicans should have chanted no more years,53,POSITIVE
mike johnsons facial expressions are pure gold,52,POSITIVE
how about the safety of our boarders fzjb and his administration,52,NEUTRAL
all lies,50,NEUTRAL
i thought it was the most divisive state of the union i have ever seen for a guy that was going to bring the country together 3 years ago,48,NEUTRAL
this is just pitiful biden should move himself and his administration to ukraine hes worried about their wellbeing more than the needy of the united states,47,NEGATIVE
