comment,stance_llama_8b,sentiment_llama_8b
looks like a hollywood set with all the main actors and background people also,CONSERVATIVE,NEUTRAL
fdr would be rolling over in his grave if he saw biden fdr helped take care of americans first,CONSERVATIVE,POSITIVE
where am i who are all these people kissy kissy wheres the toilet give me a toot to stay awake,CONSERVATIVE,NEUTRAL
that was the funniest state of the union address ever known in the history of the united states by an illegitimate commander in chief,CONSERVATIVE,POSITIVE
great speech by biden,LIBERAL,POSITIVE
did i just hear a reelect trump chant when whats his name was talking about the border,CONSERVATIVE,NEUTRAL
pure deception and satanic evil lord jesus i pray with all of my heart that if we do not have 4 years with a good godfearing president that you would take us home call us into the clouds we will gladly meet you there,CONSERVATIVE,NEGATIVE
i thank god she survived without any injuries except swellings,CONSERVATIVE,POSITIVE
5007 the bipartisan border bill,CONSERVATIVE,NEUTRAL
bidens like the scarecrow on wizard of oz looking for a brain,CONSERVATIVE,NEGATIVE
why did kamala even have a chair she couldve stood there clapped after each everything biden said or lied about,CONSERVATIVE,NEUTRAL
so this is what it looks like when you steal or rig something,CONSERVATIVE,NEUTRAL
wow right from the start you can tell from bidens eyes that he was definitely on a mix of drugs it looks like they gave him something from every pill bottle in the medicine cabinet just so he could function,CONSERVATIVE,NEGATIVE
if i was smart id go home now but he didnt so i guess that shows how smart he is,CONSERVATIVE,NEUTRAL
this is the third straight state of the union address that i quit listening to within the first few minutes of it starting at the very least these degenerate thieves and pathological liars owe us a honest rendition of the condition of our nation if this socalled president or any other members of his communist party tell you that the sun is shining you can bet that it is a cold moonless night they try to lie deceive and indoctrinate the brainwashed masses into believing that the hellish condition our once great nation is in is a golden age ushered in by themselves personally the truth of the state of our union can be described in just two words instead instead of an hour and a half of the two words that accurately describe the state of our nation is it sucks,CONSERVATIVE,OTHER
even children in ukraine collect money for the armed forces and superrich americans trumpists johnsons elon musk are afraid of putin,LIBERAL,POSITIVE
president biden crushed it,LIBERAL,POSITIVE
get rid of the wef,CONSERVATIVE,NEUTRAL
the pay for play mafia,CONSERVATIVE,NEUTRAL
thank you speaker johnson we agree with you biden an idiot,CONSERVATIVE,NEGATIVE
wow theres a bunch insane nuts on the fox news side here just like yaw daddy trump,LIBERAL,POSITIVE
look at those tiny little hads creepy,CONSERVATIVE,NEUTRAL
senator britts fabrication was typical of trumpism trumps assault on democracy and the constitution the j6 rioters are criminals and so is trump,LIBERAL,NEGATIVE
the speaker should have tore up that speech just like pelosi did,CONSERVATIVE,POSITIVE
after you listen to the yelling go fact check all the lies on your own from the divider in chief no joke fjb,CONSERVATIVE,NEUTRAL
our grandfathers fought against fascism now their republican grandchildren are voting for it,LIBERAL,NEUTRAL
i like the bad lip reading of the sotu now that is some funny stuff but this version is just sad and a little scary,LIBERAL,NEUTRAL
high as a kite,CONSERVATIVE,NEUTRAL
what a joke,CONSERVATIVE,NEUTRAL
union 3,CONSERVATIVE,NEUTRAL
great republican response a little embarrassing but no shame in the grand ole party,CONSERVATIVE,POSITIVE
what an embarrassment,CONSERVATIVE,NEGATIVE
