comment,stance_llama_8b,sentiment_llama_8b
vote for me 1 i will reduce the profitability of your 401k 2 i will increase the cost of your goods and service 3 i will probably cost some of you your jobs how will i make my wonderful dream your reality 1 i will reduce the profits of the companys in which your 401k is invested 2 i will reduce the profits of the companys that make your milk toilet paper and your other goods 3 i will reduce the profits of the companys that employ you how can i possibly do all those things why its very simple rise their taxes would you vote for me honestly i wouldnt either i am not a big picture person i ask a simple question how will this affect my family and me i ask the question when looking for a place to live looking for work wondering should i buy or rent just to list a few bottom line when dealing with attorneys and career politicians theyre just doing their jobs im not promoting hatred always read the fine print question everything dont blindly follow anyone we live in a world where no one gets something for nothing there is always a cost and someone has to pay it i just want to make sure if im the one who will be paying i know upfront and take the steps needed to avoid it if its not right for me and my family wouldnt you,OTHER,OTHER
i would like to know what the democrats did with all the cages that the children were kept in,LIBERAL,NEUTRAL
constitution says we dont pay taxes it was brought up only to fund the ww2 war biggest scam in america history shm,OTHER,NEUTRAL
where are the fact checkers because 90 of what he claims is not true at all again where are the fact checkers,LIBERAL,NEUTRAL
reported for misinformation,OTHER,NEUTRAL
usa is unovercomeable abdulrauf frankfurt,OTHER,NEUTRAL
go joe the real american hero,LIBERAL,POSITIVE
wow we are witnessing lies since the very start america is no more,LIBERAL,NEGATIVE
pure disgusting evil on a grand scaledisgusting,LIBERAL,NEGATIVE
even former guys vice president of his one term refuses to endorse trump for 24 hes not the only one either more than half the people who worked with trump in the white house say trump is unfit and incompetent trump and his cult followers can only wish he was as successful of a president as president biden has been he took over as the country was on fire and now usa has the best economy lowest inflation and unemployment of all western countries,LIBERAL,POSITIVE
wow they gave him a great drug cocktail,OTHER,NEUTRAL
johnson not once would he stand rolling his eyes as if to say president biden is lying guess his mother never slapped that smirk off his face,LIBERAL,NEGATIVE
you cant love your country only when you win tell that to all the tolerant leftists from 2016,CONSERVATIVE,NEUTRAL
sadly i believe our country is gone thanks to the crooks in that room,LIBERAL,NEGATIVE
sure glad hes the president very intelligent he knows how to get things,LIBERAL,POSITIVE
that was painful but funny at the same time,LIBERAL,NEUTRAL
john adams remember democracy never lasts long it soon wastes exhausts and murders itself there never was a democracy yet that did not commit suicide 1814,LIBERAL,NEUTRAL
all i see is a room full of babylonian k1d ephphers,OTHER,NEUTRAL
these are not americansthese are the out of touch billionare class of traitors and criminals wake up,LIBERAL,NEGATIVE
who are those people sitting behind biden what are there names,LIBERAL,NEUTRAL
all you need to know watch obama in 2012 then this,LIBERAL,NEUTRAL
biden puts trump to shame such eloquence such statemanship he united and built usa whereas trump divided and wrecked usa,LIBERAL,POSITIVE
what a fiasco that turned out to behahaha,CONSERVATIVE,POSITIVE
mexican drug cartel employee of the year,CONSERVATIVE,NEUTRAL
dont call it a comeback someone please do a montage of joe biden over mamá said knock you out by ll cool j because liberals love cool joe,LIBERAL,POSITIVE
and the state of our union isdivided,LIBERAL,NEUTRAL
retribution lol theres poverty on the rez that never went away,OTHER,NEUTRAL
i cant imagine trump making a speech a fraction of this he has a limited vocabulary even for an orange baby,LIBERAL,NEGATIVE
fjb and the treasonous biden crime family,CONSERVATIVE,NEGATIVE
watch it for what biden liesi already won that bet as to how many lies he could tell in a hourcourse it bet he cant remember 5 mins of it,LIBERAL,NEGATIVE
oh the state of the banana republic address break out the popcorn folks,OTHER,NEUTRAL
the guy lies through his teeth he just increased the deficit by 3 trillion trump 2024,CONSERVATIVE,NEGATIVE
are all the comments from bots,OTHER,NEUTRAL
who actually supports these nutjobs also if biden is too incompetent to be held at a court trial then how in the world is he president,CONSERVATIVE,NEUTRAL
the number of illegals at the border has been overwhelming for a long time what ya waiting on shut it,CONSERVATIVE,NEUTRAL
i like the idea he is a talkerhappy about thatjoe biden does not stop keeps on going like energizer bunny,LIBERAL,POSITIVE
hey msnbc thx for keeping the mic on while our president left i loved hearing the crowd tell him he knocked it out of the park and hit a home runso proud and so hopeful with pres biden and harris wow what a speech,LIBERAL,POSITIVE
this is insane,LIBERAL,NEUTRAL
just an hour and a half campaign speech because he cant speak on the state of the union bidens america is a dumpster fire,CONSERVATIVE,NEGATIVE
democratic national anthem make the rich pay their fair share1 really howcome the more i make the higher tax rate i pay where is this mythical line where i make so much money i stop paying taxes,LIBERAL,POSITIVE
the president is a liar,LIBERAL,NEGATIVE
sotu watch the ring leader slur through a million platitudes as his trained seals smile and clap make america respectable again,LIBERAL,NEUTRAL
so he was 20 mins late and 30 mins til up on stage,LIBERAL,NEUTRAL
who were the two women he mention,OTHER,NEUTRAL
this literally looks like a clown show,CONSERVATIVE,NEUTRAL
trump 2024 maga,CONSERVATIVE,NEUTRAL
first topic the immediate focus is on ukraine what about america mr president,LIBERAL,NEUTRAL
i wonder if kamala lets you sniff her hair,CONSERVATIVE,NEUTRAL
looks like he was disappointed there were no children to sniff,OTHER,NEGATIVE
oh what a disgrace of a man trump 2024,LIBERAL,NEGATIVE
clown show on the clown channel,CONSERVATIVE,NEUTRAL
shame on the ussc didnt expect them to be quite so dirty so openly trumpites,LIBERAL,NEGATIVE
this administration wouldnt know the truth if it hit them in the face all lies,LIBERAL,NEGATIVE
what a powerful speech of thé state of thé union i dont see an old diminished man please go out and vote blue and republicans come back to your values for the sake of america,LIBERAL,POSITIVE
this is just the best kamala clap clap clap no thought clap clap clap no thought,LIBERAL,POSITIVE
behold your masters now give up that tasty tax money so they can line their pockets,LIBERAL,NEUTRAL
nothing but a bunch of baby killers right there folks for financial gain,CONSERVATIVE,NEGATIVE
these sickos are destroying our country,CONSERVATIVE,NEGATIVE
these sick people need to be put in prison,CONSERVATIVE,NEGATIVE
clapping for thieving criminals this is absurd,LIBERAL,NEGATIVE
lies lies lies no family under 400k our household income was 148k and we got a 2k per child tax credit from 2016 to 2021 not so the past two years they changed it so we are no longer eligible thats a 6k tax hike for me,LIBERAL,NEUTRAL
the way someone shouted yo yo joe and then clapped very loudly just before he was formerly announced definitely tells you that this was staged from the very beginning then all those greeting joe biden with cheers and yells felt more like they were greeting a celebrity at the oscars than a formal assembly not to mention the terrifying and creepy feelings that followed like so many patriot citizens have already expressed i had heard that this was the feeling many felt including his abdominal possibly ai chat gpt speech but in both times hearing about this and now witnessing this later i cant help but think of this scripture in the book of revelation and i beheld another beast coming up out of the earth and he had two horns like a lamb and he spake as a dragon revelation 1311 he might not be the antichrist but hes definitely not helping unite the citizens to god and protect the sacred documents of our founding fathers and mothers also its horrible that our own veteran was kicked out of this meeting i couldnt help but think of joe biden as president snow from the book and movie hunger games and the time when capital police shot the old man in district 12 for holding up the sign for katnis everdeen after she spoke off script,OTHER,OTHER
just like how i believe theyre all pedos they believe were all dumb so dumb that they play with our time and intelligence by going back and forth on the same things over and over like we dont notice ill never vote i believe its not counted anyway,OTHER,NEGATIVE
