comment,stance_llama_8b,stance_trump,stance_biden
vote for me 1 i will reduce the profitability of your 401k 2 i will increase the cost of your goods and service 3 i will probably cost some of you your jobs how will i make my wonderful dream your reality 1 i will reduce the profits of the companys in which your 401k is invested 2 i will reduce the profits of the companys that make your milk toilet paper and your other goods 3 i will reduce the profits of the companys that employ you how can i possibly do all those things why its very simple rise their taxes would you vote for me honestly i wouldnt either i am not a big picture person i ask a simple question how will this affect my family and me i ask the question when looking for a place to live looking for work wondering should i buy or rent just to list a few bottom line when dealing with attorneys and career politicians theyre just doing their jobs im not promoting hatred always read the fine print question everything dont blindly follow anyone we live in a world where no one gets something for nothing there is always a cost and someone has to pay it i just want to make sure if im the one who will be paying i know upfront and take the steps needed to avoid it if its not right for me and my family wouldnt you,OTHER,OTHER,OTHER
i would like to know what the democrats did with all the cages that the children were kept in,LIBERAL,OTHER,OTHER
constitution says we dont pay taxes it was brought up only to fund the ww2 war biggest scam in america history shm,OTHER,OTHER,OTHER
where are the fact checkers because 90 of what he claims is not true at all again where are the fact checkers,LIBERAL,ANTI,OTHER
reported for misinformation,OTHER,OTHER,OTHER
usa is unovercomeable abdulrauf frankfurt,OTHER,OTHER,OTHER
go joe the real american hero,LIBERAL,OTHER,PRO
wow we are witnessing lies since the very start america is no more,LIBERAL,OTHER,OTHER
pure disgusting evil on a grand scaledisgusting,LIBERAL,OTHER,OTHER
even former guys vice president of his one term refuses to endorse trump for 24 hes not the only one either more than half the people who worked with trump in the white house say trump is unfit and incompetent trump and his cult followers can only wish he was as successful of a president as president biden has been he took over as the country was on fire and now usa has the best economy lowest inflation and unemployment of all western countries,LIBERAL,ANTI,PRO
wow they gave him a great drug cocktail,OTHER,OTHER,OTHER
johnson not once would he stand rolling his eyes as if to say president biden is lying guess his mother never slapped that smirk off his face,LIBERAL,OTHER,ANTI
you cant love your country only when you win tell that to all the tolerant leftists from 2016,CONSERVATIVE,PRO,OTHER
sadly i believe our country is gone thanks to the crooks in that room,LIBERAL,OTHER,OTHER
sure glad hes the president very intelligent he knows how to get things,LIBERAL,PRO,OTHER
that was painful but funny at the same time,LIBERAL,OTHER,OTHER
john adams remember democracy never lasts long it soon wastes exhausts and murders itself there never was a democracy yet that did not commit suicide 1814,LIBERAL,OTHER,OTHER
all i see is a room full of babylonian k1d ephphers,OTHER,OTHER,OTHER
these are not americansthese are the out of touch billionare class of traitors and criminals wake up,LIBERAL,OTHER,OTHER
who are those people sitting behind biden what are there names,LIBERAL,OTHER,OTHER
all you need to know watch obama in 2012 then this,LIBERAL,OTHER,OTHER
biden puts trump to shame such eloquence such statemanship he united and built usa whereas trump divided and wrecked usa,LIBERAL,ANTI,PRO
what a fiasco that turned out to behahaha,CONSERVATIVE,OTHER,OTHER
mexican drug cartel employee of the year,CONSERVATIVE,OTHER,OTHER
dont call it a comeback someone please do a montage of joe biden over mamá said knock you out by ll cool j because liberals love cool joe,LIBERAL,OTHER,PRO
and the state of our union isdivided,LIBERAL,OTHER,OTHER
retribution lol theres poverty on the rez that never went away,OTHER,OTHER,OTHER
i cant imagine trump making a speech a fraction of this he has a limited vocabulary even for an orange baby,LIBERAL,ANTI,OTHER
fjb and the treasonous biden crime family,CONSERVATIVE,OTHER,ANTI
watch it for what biden liesi already won that bet as to how many lies he could tell in a hourcourse it bet he cant remember 5 mins of it,LIBERAL,OTHER,ANTI
oh the state of the banana republic address break out the popcorn folks,OTHER,OTHER,OTHER
the guy lies through his teeth he just increased the deficit by 3 trillion trump 2024,CONSERVATIVE,ANTI,OTHER
are all the comments from bots,OTHER,OTHER,OTHER
who actually supports these nutjobs also if biden is too incompetent to be held at a court trial then how in the world is he president,CONSERVATIVE,OTHER,ANTI
the number of illegals at the border has been overwhelming for a long time what ya waiting on shut it,CONSERVATIVE,PRO,OTHER
i like the idea he is a talkerhappy about thatjoe biden does not stop keeps on going like energizer bunny,LIBERAL,OTHER,PRO
hey msnbc thx for keeping the mic on while our president left i loved hearing the crowd tell him he knocked it out of the park and hit a home runso proud and so hopeful with pres biden and harris wow what a speech,LIBERAL,OTHER,PRO
this is insane,LIBERAL,OTHER,OTHER
just an hour and a half campaign speech because he cant speak on the state of the union bidens america is a dumpster fire,CONSERVATIVE,OTHER,ANTI
democratic national anthem make the rich pay their fair share1 really howcome the more i make the higher tax rate i pay where is this mythical line where i make so much money i stop paying taxes,LIBERAL,OTHER,PRO
the president is a liar,LIBERAL,ANTI,OTHER
sotu watch the ring leader slur through a million platitudes as his trained seals smile and clap make america respectable again,LIBERAL,OTHER,ANTI
so he was 20 mins late and 30 mins til up on stage,LIBERAL,OTHER,OTHER
who were the two women he mention,OTHER,OTHER,OTHER
this literally looks like a clown show,CONSERVATIVE,OTHER,OTHER
trump 2024 maga,CONSERVATIVE,PRO,OTHER
first topic the immediate focus is on ukraine what about america mr president,LIBERAL,OTHER,OTHER
i wonder if kamala lets you sniff her hair,CONSERVATIVE,OTHER,OTHER
looks like he was disappointed there were no children to sniff,OTHER,ANTI,OTHER
oh what a disgrace of a man trump 2024,LIBERAL,ANTI,OTHER
clown show on the clown channel,CONSERVATIVE,OTHER,OTHER
shame on the ussc didnt expect them to be quite so dirty so openly trumpites,LIBERAL,ANTI,OTHER
this administration wouldnt know the truth if it hit them in the face all lies,LIBERAL,ANTI,OTHER
what a powerful speech of thé state of thé union i dont see an old diminished man please go out and vote blue and republicans come back to your values for the sake of america,LIBERAL,OTHER,PRO
this is just the best kamala clap clap clap no thought clap clap clap no thought,LIBERAL,OTHER,OTHER
behold your masters now give up that tasty tax money so they can line their pockets,LIBERAL,OTHER,OTHER
nothing but a bunch of baby killers right there folks for financial gain,CONSERVATIVE,OTHER,ANTI
these sickos are destroying our country,CONSERVATIVE,OTHER,OTHER
these sick people need to be put in prison,CONSERVATIVE,OTHER,OTHER
clapping for thieving criminals this is absurd,LIBERAL,OTHER,OTHER
lies lies lies no family under 400k our household income was 148k and we got a 2k per child tax credit from 2016 to 2021 not so the past two years they changed it so we are no longer eligible thats a 6k tax hike for me,LIBERAL,OTHER,ANTI
the way someone shouted yo yo joe and then clapped very loudly just before he was formerly announced definitely tells you that this was staged from the very beginning then all those greeting joe biden with cheers and yells felt more like they were greeting a celebrity at the oscars than a formal assembly not to mention the terrifying and creepy feelings that followed like so many patriot citizens have already expressed i had heard that this was the feeling many felt including his abdominal possibly ai chat gpt speech but in both times hearing about this and now witnessing this later i cant help but think of this scripture in the book of revelation and i beheld another beast coming up out of the earth and he had two horns like a lamb and he spake as a dragon revelation 1311 he might not be the antichrist but hes definitely not helping unite the citizens to god and protect the sacred documents of our founding fathers and mothers also its horrible that our own veteran was kicked out of this meeting i couldnt help but think of joe biden as president snow from the book and movie hunger games and the time when capital police shot the old man in district 12 for holding up the sign for katnis everdeen after she spoke off script,OTHER,OTHER,ANTI
just like how i believe theyre all pedos they believe were all dumb so dumb that they play with our time and intelligence by going back and forth on the same things over and over like we dont notice ill never vote i believe its not counted anyway,OTHER,OTHER,ANTI
more crooks than a paintentury,LIBERAL,OTHER,OTHER
i always hear the same stuff over and over and over again promises unkept they always keep the same issues for when election time comes around and no he is not for all americans only those who are vaccinated and not for trump this is so exhausting and yes he is too old i cannot vote for him a 2nd time around,LIBERAL,ANTI,OTHER
ad breaks every five minutes all you did was post a video you filmed with technical errors this aint it chief,LIBERAL,OTHER,OTHER
saddam hussain has weapons of mass destruction vp joe biden,CONSERVATIVE,OTHER,OTHER
speaker mike johnson was contemplating life for this whole speech,LIBERAL,OTHER,OTHER
let his days be few another take his office,CONSERVATIVE,OTHER,OTHER
historic to say the least,LIBERAL,OTHER,OTHER
yes biden was yelling at the republican well deserved,LIBERAL,OTHER,PRO
its the same speech as last year,LIBERAL,OTHER,OTHER
i cant get over the smirk on johnsons face he is gonna find out just how different things are gonna be,CONSERVATIVE,OTHER,ANTI
look at all the fake conversations going on in the beginning,LIBERAL,OTHER,OTHER
does the president actually have the power to just put roe vs wade back in place if so why hasnt he done this in the past 2 years,LIBERAL,OTHER,OTHER
sleepy joe woke up lol not a republican nor a democrat but its good to see he still has some energy now he just needs to keep these promises especially about roe v wade,OTHER,OTHER,PRO
its crazy how much they only want more war and how all these people can lie to our faces dems and republicans serve nothing but their own bs dont worry we are uniting without you and your reign is coming to the end,OTHER,OTHER,OTHER
did anyone ask where is his cocke head son hunter,CONSERVATIVE,OTHER,ANTI
worst state of the union ever democrats love feeding division hatred and fear to get votes,CONSERVATIVE,OTHER,ANTI
yet not mentally fit to stand trial for his classified documents crimes,CONSERVATIVE,ANTI,OTHER
im so confused how did he do this speech without getting lost this is literally the only time ive seen him make a decent speech,LIBERAL,OTHER,OTHER
i believe the best part of the presidents speech when he kept saying you built america your the reason our country is coming back i never heard him one time say i did this or i did that he truly loves our country and cares about the people it,LIBERAL,PRO,OTHER
i find it hilarious that mtg keeps moving down the aisle to get the presidents attention clear on the other side where all the democrats are sitting shes so sad and a glory hog,LIBERAL,OTHER,OTHER
hes just like my grandpa pathetic incompetent and clueless,CONSERVATIVE,ANTI,OTHER
an advertisement for rubbish removal just presented on youtube how apt,OTHER,OTHER,OTHER
grandpa yelling at me for an hour,LIBERAL,OTHER,OTHER
aint no mistake democrats are trying to push in the one world government my vote for them just so that they can do it,OTHER,OTHER,ANTI
i might vote democrats just so they can win and push in the one world government so revelations is fulfilled,OTHER,OTHER,PRO
did he just warn putin i will not fall down,LIBERAL,OTHER,OTHER
for security reasons president biden should ban tiktok,CONSERVATIVE,OTHER,PRO
why is it when he talks about money i fell like he said lets make our pockets fuller but didnt say average american in the whole sentence,LIBERAL,OTHER,OTHER
he speaks about all the evil israel is committing but wont dare call it genocide theres no middle ground here hes just trying to play both sides,LIBERAL,OTHER,OTHER
why do people still vote,OTHER,OTHER,OTHER
am amazed putin hasnt been assisted please hurry up then we can get back normality,CONSERVATIVE,OTHER,OTHER
kackling harris w her gnarls fingers clapping is sich a horrid scene to see,CONSERVATIVE,OTHER,OTHER
what a joke make america great again president trump,CONSERVATIVE,PRO,OTHER
mr president uncle joe you showed up and showed out speak truth to power gods got your back,LIBERAL,OTHER,PRO
hi russian bots,LIBERAL,OTHER,OTHER
worst state of the union address ever seen before,CONSERVATIVE,OTHER,ANTI
president biden the worlds largest president has ever had,LIBERAL,OTHER,PRO
i like the part where they tweaked the narrative,LIBERAL,OTHER,OTHER
this is the best clone they have,CONSERVATIVE,OTHER,OTHER
you can tell that speaker johnson agrees with much of what the president said,LIBERAL,PRO,OTHER
mr speaker the president of the united states,OTHER,OTHER,OTHER
the number of gum chewers in that room is staggering,LIBERAL,OTHER,OTHER
people are working two plus jobs and we should be happy,CONSERVATIVE,OTHER,OTHER
all they give us is crumbs if you made lots of money being in office when you leave you should not get health care and pension,LIBERAL,OTHER,OTHER
good job mr president,LIBERAL,PRO,OTHER
i know msnbc is embarrassed to show this,CONSERVATIVE,OTHER,OTHER
speech of more lies and corruption worst state of the unio speech ever made by the worst president ever i mean ever,CONSERVATIVE,ANTI,OTHER
what is war good for absolutely nothing except for the people who make weapons to get richer,LIBERAL,OTHER,OTHER
automation ai outsourcing toxic working place modern day slavery minimum wage and homeless there are not enough good paying jobs for american people we need universal guarantee income and universal guarantee healthcare in america the american people are suffering and nobody cares in america except talks and no actions thank you,LIBERAL,OTHER,OTHER
last ditch effort to winnot slick at all,CONSERVATIVE,OTHER,OTHER
vote blue for progress and prosperity in the country,LIBERAL,OTHER,PRO
oh hes on fire and not so sleepy now it goes to show you that besides his age he is still a fighter,LIBERAL,PRO,OTHER
i have to wonder what on earth have the republicans done in the last 4 years anything anything at all do they care about anything other than dt,LIBERAL,ANTI,OTHER
as a north european that was a bloody fantastic speech,LIBERAL,PRO,OTHER
this is proof that if biden stuck with the 2 day work week and his supplier could keep him on the right amphetamines he could stand trial for his crimes,LIBERAL,OTHER,ANTI
one thing i can tell president joe loves to talk i can tell by when he was walking in and leaving he loves to chat jill done had to talk to him about this i bet,LIBERAL,OTHER,PRO
msnbc lies trump said to march peacefully to the capitol fact was he convicted no nobody was shot to death by a protestor fact oh a little unarmed trump woman was shot by a racist guard bidens speech was a joke it was almost exactly like last year fyi enjoy the record crime mostly in dem cities record high gas record inflation the military not making its quotes as we are closer to wwii than ever no dialogue with putin for peace millions of illegals let in and not vaccinated or vented again fact i could name more facts if you want,OTHER,PRO,ANTI
i cant watch this jokester we are the laughing stock of the world our country has fallen so far i have my doubts that we will ever be great again,CONSERVATIVE,PRO,OTHER
this pos lies every time he breathes he cant help it they set up trump and his supporters sleepy fjb stole the election and now he and obama and the rest of you are destroying our country trump 2024,OTHER,PRO,ANTI
funniest part in this is seeing the swedish prime minister ulf kristersson standing up with the rest of the people standing up all the time probably not because hes fully onboard with what biden is saying seeing as hes not an american and the head of state of a completely different country just goes to show that hes very polite haha,LIBERAL,OTHER,PRO
why does the presidents cabinet have a walkout like an nba team,LIBERAL,OTHER,OTHER
wow a lot of this is all bogus inflation youre making it worse cant just give give give and think inflation wont happen ronald reagan said inflation is from government over spending this is true less government is what we should be applauding to not this cult leader and his smug vp this sounds like a government over throw all these people are so far left and right its crazy lets all get to a common ground chanting idiots,OTHER,OTHER,ANTI
all the devils in one place,LIBERAL,OTHER,OTHER
president biden was amazing he will definitely make history the republicans will be remembered as well but as the absolute disgrace of their republican party,LIBERAL,OTHER,PRO
anyone elses non profanity comments deleted of this benedict arnolds rant,LIBERAL,OTHER,OTHER
what a trainwreck,CONSERVATIVE,OTHER,OTHER
i love how joe biden makes his own rules as he goes instead of following our existing laws he has become a ruthless dictator with this open border deal making illegals legal with the wave of his magic wand now we are all supposed to bow down to him and feed him our tax to pay for this mess,CONSERVATIVE,OTHER,ANTI
where is the president seal not in front of joe,CONSERVATIVE,OTHER,PRO
what a complete joke the only thing he accomplished was to continue breathing low bar his own vp looked annoyed having to stand and clap for absolute bollox would have been better off replacing him with ai that could speak coherently and didnt cough every few minutes 15million new jobs in 3 years bollox thats people returning to work after covid shut downs which btw he also said covid will not be allowed to control us anymore covid never controlled us the government did with their lies regarding covid until some states got wise to it and said no more,OTHER,ANTI,OTHER
we heard a president speak about the love for the country and all its citizens plus he gave a road map to improve the lives of the little man and woman the other guy only wants the power of a king with the accountability of a toddler the difference s huge its democracy versus tyrannical rule where only the majority community has rights and freedoms,LIBERAL,ANTI,PRO
president biden performs his function in our government his oposition offers a man who does not have that capacity how could anyone looking critically for truth not find that,LIBERAL,OTHER,PRO
2650 minutes of crap just start on the speech already after watching i have a couple of observations about bidens speechlies and bs everything good 45 did this imbecile too credit for all his own failures he blames on 45 winning an election by election fraud is not winning and jan 6 was not an insurrection also about social securitythis imbecile has instuited legislation to raise the tax on social security three times in his 52 years in the government,CONSERVATIVE,PRO,ANTI
