comment,biden_stance,trump_stance
also im type one diabetic i work for sutter hospital in ca and im paying 95 for insulin each i dont know where this low cost is coming from and im paying over 100 for my dexcom supply where do i get the 35 discount price just asking,NONE,NONE
when he says hes made these jobs are they counting ai because homeless is very high and everywhere has automated robots so are they counting robots as people im just wandering,NONE,NONE
for the honest for truth for biden 2024,FAVOR,NONE
i have attention deficit disorder deafitis i cant sit through this difficult listening sorry im on ssi,NONE,NONE
my president the traitors party who dont believe in government our laws and our constitution will be shown the door in november,FAVOR,FAVOR
i vote for president biden for 2024 to 2028,FAVOR,NONE
fghirraim news live fhaaogg mashallah rgf,NONE,NONE
your note dektator and kinack le one contry,NONE,NONE
thay are your arab man for women produktion amirika viagra,NONE,NONE
what economy is he speaking of inflation is crazy,AGAINST,NONE
and kinack teror and qatar knife thay are waite mahdiarmé have note mahdiarmé jawel,NONE,NONE
what wire for hexa peaple som see oute som telekom sand skepp qran to wc this is note ralion for me,NONE,NONE
good evening mr president baiden 4 more years first god yes it will be you but you have to stop the bullshit of teump with arizona he is no one to say that the ladies are there with the question of whether they abort or not thats it your decision mr president that trump has to pay for the police officers who died in the capitol,FAVOR,AGAINST
thats a different guy sitting behind biden what happened to the other guy,AGAINST,NONE
this was a great speech gave me chills,FAVOR,NONE
connecting ivf and roe vs wade is incompetentintentional overturning rvw was to prevent murders while ivf is to create life the intentional buffoonery of the crossovers here is so obvious that it is disheartening,FAVOR,AGAINST
adderalljoe is cranking up the volume in this messy word salad speech poor america,AGAINST,NONE
cool yes thanks you soy math you démocrates of américain,FAVOR,NONE
yes thanks you fort,NONE,NONE
thanks you verry math you président barack obama of chicago bulls américain,NONE,NONE
thanks you soy math,NONE,FAVOR
and président kamala harris of california usa,FAVOR,NONE
laugh now there will be tears in november,FAVOR,AGAINST
john kennedy is president usarodoffe mckennedy crazy we only luck about you,NONE,NONE
thanks you for understand me and sorry about i say bad about opa john,NONE,NONE
newt gingrich biden is violating the law every day httpsyoutubenujbrebi1o8sitpj1gres2mzu1vh,NONE,NONE
i only lern lern lern and want understand and help business home,NONE,NONE
i know onlyi am from germany and care usa same not to be about winni know what i do about usa germany,NONE,NONE
respectedsirmodijiindiatakecairfinanee5rsiamnahimillagaiamnoprofitepleseiamrespectedbidensirfullsapportethankyousomach,FAVOR,NONE
cricket joe biden dont even know how to run a nation,AGAINST,NONE
biden speaks and the wisdom enshrined in the entire speech is what matters there are visible indications of victory for the democrats,FAVOR,AGAINST
if he really did think that putin wanted world dominance there would be boots on the ground instead of being satisfied with sacrificing a whole generation of ukrainians while the military ind complex grew rich and when gorbachev did tear down the wall and disband the warsaw pact it was on the promise that nato would not move an inch further east all this while bidens family grow rich on dodgy dealings with ukraine and china utterly shameful and yet again the innocent suffer while psychopaths play geopolitics,AGAINST,NONE
this is why trump wanted to build the wall,NONE,FAVOR
whos this guy and whatd you do with brandon,NONE,AGAINST
omg this is a bunch of warmongering idiots how did it come to this,NONE,NONE
623 biden says we must be honest the threat to democracy must be defended after that stunning revelation biden sounds off on insurrection propaganda as if someone anyone has been charged with insurrection and speaker johnson can barely keep a straight face,FAVOR,AGAINST
i love joe biden and his speech he tells the truth straight out dont lie like donald j trump great speech go joe go,FAVOR,AGAINST
626 this dude literally said and i quote the threat to democracy must be defended i cant believe this is real americans will all have to stand up against the biden administration one day and the sooner the better,AGAINST,FAVOR
thanks you soy math,NONE,FAVOR
i cant remember ever watching from start to finish one of these in the history of my 45 years of voting age and i wouldnt tear myself away from this one great speech biden showed the reason he has been in politics all these years and brought that experience to the table i wasnt aware of all the good that has been accomplished have only heard the negative thank you for laying it all out,FAVOR,NONE
