comment,stance_llama_8b
looks like a hollywood set with all the main actors and background people also,CONSERVATIVE
fdr would be rolling over in his grave if he saw biden fdr helped take care of americans first,CONSERVATIVE
where am i who are all these people kissy kissy wheres the toilet give me a toot to stay awake,CONSERVATIVE
that was the funniest state of the union address ever known in the history of the united states by an illegitimate commander in chief,CONSERVATIVE
great speech by biden,LIBERAL
did i just hear a reelect trump chant when whats his name was talking about the border,CONSERVATIVE
pure deception and satanic evil lord jesus i pray with all of my heart that if we do not have 4 years with a good godfearing president that you would take us home call us into the clouds we will gladly meet you there,CONSERVATIVE
i thank god she survived without any injuries except swellings,CONSERVATIVE
5007 the bipartisan border bill,CONSERVATIVE
bidens like the scarecrow on wizard of oz looking for a brain,CONSERVATIVE
why did kamala even have a chair she couldve stood there clapped after each everything biden said or lied about,CONSERVATIVE
so this is what it looks like when you steal or rig something,CONSERVATIVE
wow right from the start you can tell from bidens eyes that he was definitely on a mix of drugs it looks like they gave him something from every pill bottle in the medicine cabinet just so he could function,CONSERVATIVE
if i was smart id go home now but he didnt so i guess that shows how smart he is,CONSERVATIVE
this is the third straight state of the union address that i quit listening to within the first few minutes of it starting at the very least these degenerate thieves and pathological liars owe us a honest rendition of the condition of our nation if this socalled president or any other members of his communist party tell you that the sun is shining you can bet that it is a cold moonless night they try to lie deceive and indoctrinate the brainwashed masses into believing that the hellish condition our once great nation is in is a golden age ushered in by themselves personally the truth of the state of our union can be described in just two words instead instead of an hour and a half of the two words that accurately describe the state of our nation is it sucks,CONSERVATIVE
even children in ukraine collect money for the armed forces and superrich americans trumpists johnsons elon musk are afraid of putin,LIBERAL
president biden crushed it,LIBERAL
get rid of the wef,CONSERVATIVE
the pay for play mafia,CONSERVATIVE
thank you speaker johnson we agree with you biden an idiot,CONSERVATIVE
wow theres a bunch insane nuts on the fox news side here just like yaw daddy trump,LIBERAL
look at those tiny little hads creepy,CONSERVATIVE
senator britts fabrication was typical of trumpism trumps assault on democracy and the constitution the j6 rioters are criminals and so is trump,LIBERAL
the speaker should have tore up that speech just like pelosi did,CONSERVATIVE
after you listen to the yelling go fact check all the lies on your own from the divider in chief no joke fjb,CONSERVATIVE
our grandfathers fought against fascism now their republican grandchildren are voting for it,LIBERAL
i like the bad lip reading of the sotu now that is some funny stuff but this version is just sad and a little scary,LIBERAL
high as a kite,CONSERVATIVE
what a joke,CONSERVATIVE
union 3,CONSERVATIVE
great republican response a little embarrassing but no shame in the grand ole party,CONSERVATIVE
what an embarrassment,CONSERVATIVE
america comes first before ukraine he doesnt care about usa he received a strong border and destroyed it the economy is in threads we need president trump,CONSERVATIVE
magatrump behind bars america supports it,CONSERVATIVE
i like how kamala stood up real fast to clap about not being jailed for the minor crime of possession when thats what she did best,CONSERVATIVE
they should have had trump do the rebuttal,CONSERVATIVE
history is watching the absolute worst president ever bumbling biden the state of confusion address,CONSERVATIVE
wow kamela stood up for herself,LIBERAL
biden knows our story how you have lived among elitists and thieves are your life,CONSERVATIVE
the technology cant be used in china we left a fifth of it in afghanistan under your leadership,CONSERVATIVE
history will speak to the cult how easily they were gaslit by trump how they embraced the most flawed leader in cult history how they rallied around grievance and bigotry railed against their own interests believed an obvious con but the true disaster was the normalization of a madman,OTHER
why dont give government pensions you get to all americans want to keep spending and giving money away like a lottery,CONSERVATIVE
what real job did joe biden have none politics he is corrupt he doesnt have a leg to stand on he wont win he is frail and weak leader,CONSERVATIVE
4 years and he still hasnt figured out a thing,CONSERVATIVE
