comment,biden_stance,trump_stance
this jack ass lol,NONE,AGAINST
idk why but this whole thing is giving olivia pope scandal,NONE,AGAINST
i just wanted thank the left for re elected trump dont you ever learn,NONE,FAVOR
history will never erase this 34,NONE,AGAINST
so do people have blackmail on the judge some of the injustice is caused by hidden crimes like sex with a 9 year old girl,NONE,NONE
umm what crime did he actually commit,NONE,NONE
im here for the maga tears ooooooh they are delicious,NONE,FAVOR
fantastic save our country vote for biden even is you dont care for him he is the only choice if you want to remove the sanity that is happening in the republican party,FAVOR,AGAINST
trump 2024 ups wrong news channel this is the one that imports democracy from ukraine,NONE,FAVOR
it is illegal for donald trump as a convicted felon to posses firearms he can no longer be in control of americas military or weapons he can no longer control the secret service he can no longer control weapons of any kind he can no longer be commander and chief give one year for each felony at mardelargo 19th hole of course,NONE,AGAINST
thank you alvin bragg for bringing trump back as president in 2024 maga 2024,NONE,FAVOR
technically not unprecedented redcoats made sure every signer of the constitution or voice of independence became a criminal its what tyrants do,NONE,NONE
if you dont understand this ruling of 34 counts for trump then search up trump rule 34,NONE,AGAINST
both trump and biden are using our judicial system as weapons against each other they both need to go and we can hopefully get our country back,AGAINST,AGAINST
dont like trump and have been a democrat for years but this trial was bs yeah yeah hes guilty but what about the millions of dollars coming from china to the bidens without any explanation that doesnt affect us more than this hush money thing dont understand the glee over his conviction and the hate for him either we are accepting too many biased actions because of it wait till its done to someone we like,FAVOR,AGAINST
but yet killary klinton is at home in her mansion drinking blood,NONE,FAVOR
trump is a rockefeller op,NONE,AGAINST
just curioushow many members of the jury had unnaturally colored hair and referred to themselves with pronouns and made it a point they use said pronouns,NONE,AGAINST
its all a charade but not that it matters considering trump is controlled opposition anyway,NONE,AGAINST
the wicked are guilty against god you accuse a good man like gods son was accused of false charges your modern day pharisee,NONE,FAVOR
hamas was guilty against god,NONE,NONE
the president of iran was guilty against god,NONE,NONE
that lady go a teacher kicked out of her seat in the jet and was nasty to kavanugh,NONE,NONE
are you nasty to gods people,NONE,AGAINST
that lady was nasty to kavanugh,NONE,FAVOR
well said judge stop treating wealthy people one way and poor another this is a traitor who is twice impeached several quid pro quosinciting violence on jan 6th emolumentsvoting tampering in georgia having secret documents at mara lago bullying witness in real time giving intel to russia cnn why have people on to argue on trumps behalf your not being fair your being silly,NONE,AGAINST
democrats continue to love helping mr trump fifty three million usd in less than twenty four hours,NONE,FAVOR
ha ha now hes just another criminal racist,FAVOR,AGAINST
