comment,likes_count
and the jurors came up to me big strong jurors tears in their eyes and they said to me sir we find you guilty of absolutely everything,1426
hes been found guilty of all 34 charges,1415
the jury grabbed him by the p,992
one of the things that makes america great is the rule of law,766
congratulations from the netherlands,746
im sick of the corruption,529
more lawyers that wont be getting paid,479
a beautiful day for the usa,473
this is a bigly verdict the most beautiful verdict anyone has ever seen,470
not even child sex offenders get this many charges,452
trump receiving the justice he had coming to him gives me more confidence in the us still being a real democracy,447
as a lifelong republican until donald trump this is the best news ive heard in over 20 years lock him up,434
from australia congratulations american justice is prevailing,423
017 they made america great again trump maga guilty 2024 guilty,405
if person with a single felony cant vote why someone with multiple felonies qualifies to run for president,381
unanimously found guilty on all charges god bless america,369
respect to the american citizens of the jury who heard the evidence and rendered their verdict guilty as charged,334
way past his jail time,306
guilty felon,305
no one found guilty of 34 felonys should ever be allowed to be president in our country we need to change some laws,300
my biggest fear is how dumb and divided america looks to the world easy targets for extremism may god bless america,277
being found guilty when youre guilty is so unfair,274
34 times a felon so far,271
can someone explain why anyone would want 4 more years of chaos drama bullying criminality and immorality with trump as president,268
looks like he finally won the popular vote,262
the central park five should put a full page letter in the new york times calling for a 20year prison sentence for donny,241
guilty as charged,240
next up stolen documents case,229
and yet he will still walk out of that court get in a publicly funded vehicle followed by publicly funded secret service detail and fly back home where the hell is there any kind of justice in this,229
donnie puts the con in convict,223
well done that jury hooray from the uk he is rotten and needs to be held accountable this must be so sweet for all those americans who have been horrified by his lack of morals and hateful rhetoric,222
people are saying that no one has ever received more guilty verdicts than i have,219
one of the greatest days in american history,219
lock him up,218
yet he still gets to run for officewhat a shame,217
i did 33 days in jail because i didnt pay my traffic tickets in time how can a felon have a chance at the highest office in the world when people cant even get an apartment,213
at least the rest of the world now knows that all of america isnt effed up,211
now america is great again,211
big thank you to michael cohen,182
he has the best felony charges,178
lock him up,178
crying tears of joy guilty all charges sentencing in july i hope our country survives this,159
i did not mind listening to each and every count all the way up to 34 sweet justice,157
nobody knew being convicted could be this serious,155
i like candidates who arent convicted felons,151
they are no longer charges they are now 34 convictions,140
what a day for both seth meyers and stephen colbert to be dark,139
im having a good day how about you,135
as fraudulent as a nine dollar bill,131
these jurors had more guts than our current surpreme court,115
not the hush money payment case but deceiving the american voters case,113
those lock her up chants are sounding so ironic right about now,110
get his passport,107
juan merchand deserves a medal after this,102
guilty don is a felon,100
ok maybe the court system isnt a complete joke,99
the tears of his supporters will be extra salty today,92
hope they look after his painful bone spurs in jail,90
hallelujah,90
guilty of election interference not hush money,88
all 34,85
if he doesnt do prison time for 34 felony convictions the judicial system is irreparably broken i did 5 years for 2 nonviolent felonies,85
no one is above the law,84
the great don is now wearing an orange jumpsuit to match the color of his face guilty x 34,80
i never knew counting to 34 can be so satisfying,79
when the teflon wears off its time to throw the pan away,78
those people who kept asking what the crime was finally got their answer,75
guilty on all 34 counts,75
justice will be served in november,74
and your reward is 4 more years of a dementia patient,72
thank you 12 patriots,71
make accountability great again,70
we got him this time yep stand back and stand by more conviction to come,67
if only this would disqualify him from running we could all breath again,65
trump isnt it past your jail time,64
the gop has dug itself into such a deep hole over the last 78 years and they just keep digging my former party is unsavable at this point and it will take at least a generation to overcome quite possibly two generations,64
stinky is going to jail,64
orange man officially bad convicted felon,63
stop the count,62
sounds good now what will happen anyone else would be sentenced to prison,62
id like to buy the people on the jury a beer,62
were all fucked for sure,60
congratulations america from scotland,58
many thanks to the new york das office the courage to be the first to hold this criminal accountable,58
no one above the law,57
trump 45 will be now known as trump 34,57
nigeria is waiting for such a day corruption everywhere,54
he is officially a felon finally some accountability,52
i never thought i would see the day i doubt it will ever make up for all the damage he has caused this country,52
yeah its my birthday today for real turning 30 what a memorable day,52
whod have thought those walls are actually closing in,51
all of stalins victims and rivals were found guilty in a court of a law,50
well done donald you got all 34,49
congratulations from the uk,48
i could listen all day to jake reading trumps felony convictions,48
can everyone with more than 5 felony charges who havent had to go to jail right away pls stand up no one huh,47
disgusting,45
this dude got more felonies than felons,43
trump in 2020 person woman man camera tv trump in 2024 courtroom prosecutor judge jury verdict trump in 2025 guard cellmate bars toilet cot,41
i bet he almost had a fartattack as the verdict was read,41
having 2 lawyers on the jury is unheard of,38
did bill clinton pay paula jones the 850000 on the books,38
theres rejoicing in the streets here in brazil,38
this is such a a great day in america yes,38
a criminal 34 times over at fcking last,38
our judicial system sucks,35
rikers island,35
this country is now officially one big sad joke,33
34 felony charges along with a half a billion fine and 83 plus 5 million for defamation what a guy,33
what a fabulous day in history i see a lot more lawyers not getting paid,32
yet he still walks free and will never see the inside of a prison cell any regular person would have the cuffs slapped on and be taken away,32
this country is so fucked,31
finally some hope for my country god bless american,31
did this surprise anyone complete joke of a judicial system appeal will throw all of this out,30
how does jake tapper keep himself from smiling while reading these verdicts im grinning ear to ear listening,30
i would not trust a felon,29
now jake smith needs to move fast to remove canon,29
simply put his chickens have just come home to roost 12 of his peers have spoken after careful deliberations,29
worst stormy weather in ny,29
oh surprise said no one selective prosecution is persecution of a political rival,28
i honestly didnt expect them to do the right thing im shocked,28
i think im going to set this video clip as my daily morning alarm i cant imagine a better song to wake up to each day,27
oh no keep the ketchup away from him,27
just knowing he had to sit there and listen to the guilty verdicts being read 34 times brings a smile to my face,27
breaking news donnie was just arrested by mexican federales sneaking across the border into mexico illegally he was wearing a poncho sombrero a large fake mustache and riding on a burro when he was questioned in spanish by the federales donnies only reply was no speaky english,27
this makes no sense hush payments for what paying someone who admitted it was a scam,26
the kangaroo court the country has become a joke,25
isnt it coincidental all these court cases are popping up in an election year,25
dont think this is gonna stand up on appeal,25
finally something criminal sticks,25
if the glove fits you must convict,25
there is a god thank you to the jurors,24
cabt wait fir this to bump his poll numbers,24
so whats the penalty of his 34 guilty felonies,24
being a man who famously claimed he could be more presidential than anybody i expect mr trump to graciously announce that he accepts the jurys verdict and will be resigning from political life in order to spend his future in sober contemplation of his unfortunate actions i also expect him to ask the forgiveness of the american people,24
what if it was 745 counts would they read all of them off i wasnt sure who i was going to vote for but i am definitely voting for trump now,23
34 counts 34 guilty verdicts,22
be aware of the supreme court,22
im glad our institutions are holding,22
still voting trump,21
protect the jurors,21
i currently live in mexico and have been critical of the us but today i was a proud american,21
dj trump has never had to deal with any consequences for his corrupt actions his whole adult life its about time pssssst a convicted criminal can not hold a political position donnie,21
found guiltyso now lock up donald trump,21
check and mate,21
rigged,20
congratulations on proving how corrupt our justice system has become,20
theres going to be a shit load of ketchup to clean up and dozens of toilets to unclog,20
lock trump up now,20
baby this is history text books and law books will always hold trump in their memory,20
guilty,20
what a great way to start my day,20
justice prevailed,19
no man is above the law and that also applies to whatever trump is,19
when he says count one guilty and in the background you can here aaaaahhhgg celebration lol,19
they plan on destroying any opposition to their evil agenda plan to meet your maker,19
what a shitshow,19
i fear all we have done is to awaken a sleeping giant and fill him with a terrible resolve,19
34 confirmed felonies are 34 felonies,19
so i can now officially call him a criminal,19
congratulations donald you finally got 100 of the vote,18
the self proclaimed genius not a genius in business at all,18
whens biden n son gonna be charged,17
this is what we call fafo glad justice is still alive in america,17
its a sad day in america i have lost my confidence in this country convicting a man for what i believe the jury was handpicked to rule against him there goes our economy and our money,17
sad day our justice department has been weaponized,17
lock him up,17
lock him up lock the criminal as he is,17
this is the perfect opportunity for the republican party to extricate themselves from him,17
the american people are waiting for the sentencing phase to be decided on 11 july 2024,16
this is long from over,16
yessss,16
trump should take all his businesses ad money out of ny state,15
a banner day for american democracy our rule of law thank you new york jurors for upholding the rule of law affirming that no one is above the law in america,15
i can imagine him thinking those arent my peers though im above everybody,15
still voting trump in nov 2024 you just made trump a martyr for the cause of saving america from corruption you big dummies,15
the fact this guy isnt in jail yet is absolutely mind boggling,15
bless the jury lets pray the judge will punish him like anyone else the fact that he was a former president should mean mandatory jail time,15
now try him for mishandling the pandemic plz,15
finally we see justice why not jail him,15
welcome back american justice,15
how much did they pay these jurors,14
if they can do this to him what can be done to you an me ppl are to stupid now to realize our constitutional rights have been demolished,14
fantastic we have been waiting for this for years big round of applause for the jury,14
excellent work to the judge prosecutors and jurors,14
cnn needs to talk about this being about him using election money to do this,14
guilty on all counts yet he stands there claiming we did nothing wrong insane man,14
ive never been so giddy watching the news how long will it roll lol,14
from my perspective it was a pretty open and shut case,14
could this please be the beginning of trump disappearing from american politics etc,13
ok i would be going to prison for at least 20 years what will he do,13
lets see what happens in the next poll,13
democrats go full blown banana republic never new they loved socialism that much,13
like he was going to get a fair trial in ny the apeal was filed five seconds after the verdict its not the same place it was when the trial started ny dems are fed up with their leaders its going to be a whole different set of eyes looking at the apeal,13
this is reminiscent of the 1940s,13
f yeah higher inflation for the next 4 years i love high interest rates vehicle prices high utilities high groceries and fuel plus the border is being invaded daily,13
12 jurors said prosecuted 1 criminal says persecuted 12 to 1 jurors win,12
well we all know a jury in manhatten is going to be objective,12
everybody thats ever done a real estate deal in new york needs to watch out they come in for you next,12
travesty,12
wow his political opponents found him guilty imagine that,12
lock up this creep asap,12
thank you stormy,12
today is one of the gest days in american history go justice,12
every time tapper says guilty i celebrate,12
awesome,12
this doesnt change a thing he is still going to win,11
why is trump still walking free the system is not working,11
total political bs absolutely disgraceful,11
kangaroo court,11
he just got the american vote trump 2024,11
justice matters,11
tonight we drink wine out of a bottle,11
the news milania has been hoping for,11
cant wait for snl version of hush money trial,10
thank you jury and judge for your courage and service to the truth,10
democracy prevails if you dont like it move to russia with donald,10
shame trial,10
found guilty 34 times in 11 hours pity hell never see a jail cell,10
wha you gotta be kidding wheres the evidence there is none this is sick,10
overturned upon appeal,10
is this the end of the republic,10
from london england well done america just keeping the world safe every single day best news all year,10
he should now have to surrender his passport and be put under house arrest in mara logo until sentencing i dont trust this pig to not get on his jet and try to run prior to sentencing he will do whatever he needs to we all know this now he will cry like a little baby how he can go to prison for all of use,10
finallyaccountability,10
donald goes to jail and not hillary you just cant make this stuff up lock him up,10
never ever been happier,10
trump guilty on all 34 counts finally we have some measure of justice,10
any chance i can treat the jury to take out,10
bravo alvin bragg,10
it was a perfect call guilty on all counts,10
i have already told my iphone to put this in as a holiday every year cant believe it finally happened,9
hopefully this is the beginning of reclaiming the country,9
america has fallen,9
this is crap,9
a sad day for the usaa kangaroo court,9
a predictable outcome from a partizan court,9
yawn as an independent who watched this trial from beginning to end i think ive decided on voting for trump such a sham i bet not a single person here can show me the damning evidence the proved beyond reasonable doubt that he was guilty in case anybody says im just a trump supporter i voted for obama and biden,9
lock up the narcissist,9
still voting for trump fjb,9
lock him up,9
justice is served to think otherwise your head is in the sand,9
lock him up lock him up,9
in donnies mind the song rikers island i hear you calling me is becoming an ear worm and is growing louder and louder for once in his decades of abusing the justice system he may finally be held accountable,9
every developer in new york has just been put on notice the average person has no idea how damaging this case is to the future of the city,8
black thursday for america we have killed the justice system,8
about time the law catches up to him,8
and now well get to hear magas go crazy,8
clown court system,8
thank goodness for goodness sake,8
fjb trump2024,8
he shouldve done that sesame street the count count one one guilty felony charge two two felony charges whahahahaha,8
they always get the mafia bosses on the books,8
yes justice,8
trump for penitentiary 2024 baby,8
bye trump,8
this is truely an unforgettable moment in us history we are now on par with stalins soviet union,7
this is both the greatest day and worst day for politics in our country,7
pinocchiofound guilty,7
where was this case held at again,7
kangaroo court,7
i could watch this over and over,7
election interference trial guilty on all 34 counts,7
and the crowd cheers now we are drawing the swamp,7
his donation center crashed because of the volume of donations coming in as a person of color i feel i can relate to how hes been treated hes a fighter,7
crook all his life,7
you all know this will be overturned on appeal right,7
he finally got the popular vote,7
ladies and gentlemen we got him now only 57 criminal counts to go i like presidents who arent felons,7
thank you jury for doing your job,7
lock him up,7
i got my dancing shoes on and tonight im going out to celebrate,7
hip hip hooray,7
100 political lets open up that laptop trump 2024,7
ding dong,7
i always knew he is 100 percent committed to committing crimes it was a perfect score,6
remember when biden had classified documents as a senator and felt american justiceyeah 2 tier of justice and america sees it for what it is,6
yes this is how screwed up we are here in usa yet we want freedom in the world hypocrite,6
he going to appeal to the supreme court and you know they already paid off,6
and i will still vote for him over that joke in office right now,6
its about time hes held accountable for his crimes hes been dodging and blaming other people for his crimes for years i had hi hopes but never thought it would happen ya hoo,6
those are all misdemeanors what was the linking crime statute to upgrade those to a felony,6
cant wait to see those poll numbers climb even higher,6
disgusting,6
just solidified trumps reelection,6
whats odd is 0 humans can apparently name the actual crime that was committed not the judge prosecutor or jurors it would be comical if it happened in some other country guess well see what the red state attorney generals decide to do in response,6
voting for our president joe bidenis voting for a better america,6
lock him up in the good old u and the s and the a,6
i aint seen a 34 this big since shaq played for the lakers,6
losers just keep losing,6
had any one been convicted of this many felonies ever,6
thats a hot mess of guiltys,6
still voting trump,6
fantastic brilliant,6
cultist are annoying,6
america wants to see true justice,5
will trump pay the court fees after losing so bad,5
get the orange buffalo an orange jumpsuit,5
this is the first 34 steps towards making america great again,5
political persecution classic textbook maga 2024,5
all of yall are so happy but not even realizing that this pretty much sealed the victory for the orange man,5
im still voting for him,5
they should all expect to be brought up on real charges soon starting with biden,5
he cant even vote now lmao,5
was there any other outcome in this liberal court,5
time to get a passport america will be toast,5
bullshit court,5
the new york bookies were covering the bets there seldom wrong,5
i thought coen was the one that took care of the books shouldnt he be found guilty of something,5
takes notes all men and women you will reap what you sow,5
fjb,5
whats to stop him from fleeing as sentencing isnt until july 11th is it just house arrest or is dirty diaper don the convict in jail now,5
maybe he should have spent more time awake than sleeping in court,5
the department of justice is committed to holding accountable those who wrongly believe there is one rule of law for the powerful and another for the powerless no one is above the rule of law,5
finally teflon don is losing his slickness,5
congrats for helping us elect him democrats,5
,5
200000 illegal immigrants were on that jury these are terrible nasty people everyone agrees how many of them cast their guilty votes by mailin ballot all of them i dont know but thats what people are saying the defendant in this case,4
can today be a national holiday,4
wow trump got 100 of the votes this time,4
fjb he started this political persecution i hope donny pays him back when he becomes the potus in 2025,4
you lying demarats,4
