comment,biden_stance,trump_stance
nobody gets charge with 34 and found guilty of at 34 unheard of lol,NONE,AGAINST
mother teresa wouldnt have committed 34 felonies stupid,NONE,AGAINST
inew york the voice of the american people making accountability great again,NONE,AGAINST
trump was charged with 34 counts of falsification of business records in the first degree which is a felony in new york he pleaded not guilty when he was arraigned last year in 2017 cohen and allen weisselberg an executive at the trump organization reached an agreement about how cohen would be repaid for the 130000 that he sent to daniels in exchange for her silence weisselberg detailed the calculations in handwritten notes that were shown to the jury at trial,NONE,AGAINST
its always glorious when reality bursts fox news bubble live on tv,NONE,AGAINST
remember to buy groceries before you donate,NONE,NONE
lock him up lock him up lock him up,NONE,AGAINST
just came here for the comments lmao,NONE,NONE
im overdosing on this man i cant quite get back to that first high when this was live but its close,NONE,NONE
he wont spend even a day in prison and the his electoral votes will make him president once again,NONE,FAVOR
dont do the crime if you cant do the time or dont stop buying off cops judges mayors and prosecutors like you used to that kept you jr and ivanka out of jail all those years rudy kept them out of jail while pretending to crack down on crime,NONE,AGAINST
hes so dumb it gets worse with cognitive decline daily,FAVOR,NONE
as defendant now felon mr trump continues his crusade fox are meeting increasing challenges to paint this train crash as a picturesque journey threw the swiss alps hilarious to watch,FAVOR,AGAINST
hey trumpsters so much winning,NONE,FAVOR
lock him up lock him up lock him up,NONE,NONE
how are 34 counts a first time offender only the 1st count was lock that liar up,NONE,AGAINST
so much winning lol,NONE,FAVOR
biden just got tough on crime and conservatives are not havin it,FAVOR,NONE
i find it funny some of you find joy in a man being persecuted wrongly put yourself in trumps shoes how would you feel if you worked so hard to protect your neighborhood for the hoa to wrongfully convict you i am sure some of you dumb idiots will not get what i just said,NONE,FAVOR
this is so stupid,NONE,NONE
the so called party of law and order has a convicted felon as its nominee sad and dusturbing,NONE,AGAINST
who could have possibly guessed that the biden weaponized doj would stack a jury with all commies to interfere with the 2024 election i knew pepperidge farms knew traitor joe knew,AGAINST,FAVOR
