comment,likes_count
donald trump is not a republican a real republican would not have tried to overthrow the government that he vowed to protect when he became president and you know that is true this is how a real and respectful republican should and did leave the office of president in his farewell address to the nation ronald reagan said we must always remember that our strength lies in our respect for the constitution and the bill of rights and our determination to preserve it for our children and their children,46
2 impeachments a criminal conviction what a disgrace,29
he did it to himself,7
if they applied this much scrutiny to every politician at least 80 of washington would be behind bars for 10 years,6
34 convictions and that doesnt include january 6th on that day alone he committed at least 10 crimes,6
i prefer presidents who dont have 34 criminal convictions felon,5
this whole situation is crazy because trump also broke 34 rules created by the supreme court for more information on the topic look up trump rule 34,4
dont do the crime if you cant do the time,4
this is great verdict big applause for the jury for seeing that he is a criminal i always knew bruce wayne had shady dealings and finally they came to light no more buying weird offshore materials now on to lex luthor,4
news flash orange rapist convicted of 34 minor felonies with many more serious charges pending in florida georgia and dc maga cult headquarters quotes lucille ball saying waaaaaaaaaaaa,3
not surprised he was found guilty he is guilty,3
amazing how everything is rigged only when trump loses,3
is trump still under that stupid gag order even though the trial is over or can he say whatever he wants now cuz i hope he can speak freely now like everybody else,3
lock him up lock him up lock him up,3
m a g a t e a r s,3
inew york the voice of the american people making accountability great again,2
this video made me cum,2
im overdosing on this man i cant quite get back to that first high when this was live but its close,2
hey trumpsters so much winning,2
i came here to gloat but everyone beat me to it lol nice to see were not so divided after all,2
if i was found guilty of 34 felonies no matter what they were i would go to prison trump is not above the law,2
trump refuses to accept reality this is not news,2
this stupid witch hunt is ridiculous this will not stop him from becoming president 2024 donald trump will make america great again,2
checkmate you cant obtain a security clearance if you are a convicted felon the potus must have a security clearance nice little move this was got the job done trump can run he can win but he cannot take office,2
love you trump i pray for you as you defend christians faith in all over the world god bless trump,2
good lock him up,2
shame on fox for covering up the face of that sexy nypd officer standing by the door,2
isnt it pass his jail time,2
trump lawyer looks like he has just realizedhe aint getting paid,2
i dont hear any boos,2
yay trump is a felon,2
maga you have made trump your god god says to put no other god before him this was your warning,2
trump qnd his followers cant stop crying what happened to the once great republican party orange stained,2
paytriot give your money to a campaign if you want to fools haha its all a fake stage show they are laughing all the way to the bank im keeping my hard earned useless paper fiat,2
all major republican and democratic political strategists know that the only candidate likely to beat biden in the presidential election was nikkey haley except unfortunately the majority of republican supporters trump cannot win the presidential elections,2
