comment,stance_llama_8b
vote for me 1 i will reduce the profitability of your 401k 2 i will increase the cost of your goods and service 3 i will probably cost some of you your jobs how will i make my wonderful dream your reality 1 i will reduce the profits of the companys in which your 401k is invested 2 i will reduce the profits of the companys that make your milk toilet paper and your other goods 3 i will reduce the profits of the companys that employ you how can i possibly do all those things why its very simple rise their taxes would you vote for me honestly i wouldnt either i am not a big picture person i ask a simple question how will this affect my family and me i ask the question when looking for a place to live looking for work wondering should i buy or rent just to list a few bottom line when dealing with attorneys and career politicians theyre just doing their jobs im not promoting hatred always read the fine print question everything dont blindly follow anyone we live in a world where no one gets something for nothing there is always a cost and someone has to pay it i just want to make sure if im the one who will be paying i know upfront and take the steps needed to avoid it if its not right for me and my family wouldnt you,OTHER
i would like to know what the democrats did with all the cages that the children were kept in,LIBERAL
constitution says we dont pay taxes it was brought up only to fund the ww2 war biggest scam in america history shm,OTHER
where are the fact checkers because 90 of what he claims is not true at all again where are the fact checkers,LIBERAL
reported for misinformation,OTHER
usa is unovercomeable abdulrauf frankfurt,OTHER
go joe the real american hero,LIBERAL
wow we are witnessing lies since the very start america is no more,LIBERAL
pure disgusting evil on a grand scaledisgusting,LIBERAL
even former guys vice president of his one term refuses to endorse trump for 24 hes not the only one either more than half the people who worked with trump in the white house say trump is unfit and incompetent trump and his cult followers can only wish he was as successful of a president as president biden has been he took over as the country was on fire and now usa has the best economy lowest inflation and unemployment of all western countries,LIBERAL
wow they gave him a great drug cocktail,OTHER
johnson not once would he stand rolling his eyes as if to say president biden is lying guess his mother never slapped that smirk off his face,LIBERAL
you cant love your country only when you win tell that to all the tolerant leftists from 2016,CONSERVATIVE
sadly i believe our country is gone thanks to the crooks in that room,LIBERAL
sure glad hes the president very intelligent he knows how to get things,LIBERAL
that was painful but funny at the same time,LIBERAL
john adams remember democracy never lasts long it soon wastes exhausts and murders itself there never was a democracy yet that did not commit suicide 1814,LIBERAL
all i see is a room full of babylonian k1d ephphers,OTHER
these are not americansthese are the out of touch billionare class of traitors and criminals wake up,LIBERAL
who are those people sitting behind biden what are there names,LIBERAL
all you need to know watch obama in 2012 then this,LIBERAL
biden puts trump to shame such eloquence such statemanship he united and built usa whereas trump divided and wrecked usa,LIBERAL
what a fiasco that turned out to behahaha,CONSERVATIVE
mexican drug cartel employee of the year,CONSERVATIVE
dont call it a comeback someone please do a montage of joe biden over mamá said knock you out by ll cool j because liberals love cool joe,LIBERAL
and the state of our union isdivided,LIBERAL
retribution lol theres poverty on the rez that never went away,OTHER
i cant imagine trump making a speech a fraction of this he has a limited vocabulary even for an orange baby,LIBERAL
fjb and the treasonous biden crime family,CONSERVATIVE
watch it for what biden liesi already won that bet as to how many lies he could tell in a hourcourse it bet he cant remember 5 mins of it,LIBERAL
oh the state of the banana republic address break out the popcorn folks,OTHER
the guy lies through his teeth he just increased the deficit by 3 trillion trump 2024,CONSERVATIVE
are all the comments from bots,OTHER
who actually supports these nutjobs also if biden is too incompetent to be held at a court trial then how in the world is he president,CONSERVATIVE
the number of illegals at the border has been overwhelming for a long time what ya waiting on shut it,CONSERVATIVE
i like the idea he is a talkerhappy about thatjoe biden does not stop keeps on going like energizer bunny,LIBERAL
hey msnbc thx for keeping the mic on while our president left i loved hearing the crowd tell him he knocked it out of the park and hit a home runso proud and so hopeful with pres biden and harris wow what a speech,LIBERAL
this is insane,LIBERAL
just an hour and a half campaign speech because he cant speak on the state of the union bidens america is a dumpster fire,CONSERVATIVE
democratic national anthem make the rich pay their fair share1 really howcome the more i make the higher tax rate i pay where is this mythical line where i make so much money i stop paying taxes,LIBERAL
the president is a liar,LIBERAL
sotu watch the ring leader slur through a million platitudes as his trained seals smile and clap make america respectable again,LIBERAL
so he was 20 mins late and 30 mins til up on stage,LIBERAL
who were the two women he mention,OTHER
this literally looks like a clown show,CONSERVATIVE
trump 2024 maga,CONSERVATIVE
first topic the immediate focus is on ukraine what about america mr president,LIBERAL
i wonder if kamala lets you sniff her hair,CONSERVATIVE
looks like he was disappointed there were no children to sniff,OTHER
oh what a disgrace of a man trump 2024,LIBERAL
clown show on the clown channel,CONSERVATIVE
shame on the ussc didnt expect them to be quite so dirty so openly trumpites,LIBERAL
this administration wouldnt know the truth if it hit them in the face all lies,LIBERAL
what a powerful speech of thé state of thé union i dont see an old diminished man please go out and vote blue and republicans come back to your values for the sake of america,LIBERAL
this is just the best kamala clap clap clap no thought clap clap clap no thought,LIBERAL
behold your masters now give up that tasty tax money so they can line their pockets,LIBERAL
nothing but a bunch of baby killers right there folks for financial gain,CONSERVATIVE
these sickos are destroying our country,CONSERVATIVE
these sick people need to be put in prison,CONSERVATIVE
clapping for thieving criminals this is absurd,LIBERAL
lies lies lies no family under 400k our household income was 148k and we got a 2k per child tax credit from 2016 to 2021 not so the past two years they changed it so we are no longer eligible thats a 6k tax hike for me,LIBERAL
the way someone shouted yo yo joe and then clapped very loudly just before he was formerly announced definitely tells you that this was staged from the very beginning then all those greeting joe biden with cheers and yells felt more like they were greeting a celebrity at the oscars than a formal assembly not to mention the terrifying and creepy feelings that followed like so many patriot citizens have already expressed i had heard that this was the feeling many felt including his abdominal possibly ai chat gpt speech but in both times hearing about this and now witnessing this later i cant help but think of this scripture in the book of revelation and i beheld another beast coming up out of the earth and he had two horns like a lamb and he spake as a dragon revelation 1311 he might not be the antichrist but hes definitely not helping unite the citizens to god and protect the sacred documents of our founding fathers and mothers also its horrible that our own veteran was kicked out of this meeting i couldnt help but think of joe biden as president snow from the book and movie hunger games and the time when capital police shot the old man in district 12 for holding up the sign for katnis everdeen after she spoke off script,OTHER
just like how i believe theyre all pedos they believe were all dumb so dumb that they play with our time and intelligence by going back and forth on the same things over and over like we dont notice ill never vote i believe its not counted anyway,OTHER
more crooks than a paintentury,LIBERAL
i always hear the same stuff over and over and over again promises unkept they always keep the same issues for when election time comes around and no he is not for all americans only those who are vaccinated and not for trump this is so exhausting and yes he is too old i cannot vote for him a 2nd time around,LIBERAL
ad breaks every five minutes all you did was post a video you filmed with technical errors this aint it chief,LIBERAL
saddam hussain has weapons of mass destruction vp joe biden,CONSERVATIVE
speaker mike johnson was contemplating life for this whole speech,LIBERAL
let his days be few another take his office,CONSERVATIVE
historic to say the least,LIBERAL
yes biden was yelling at the republican well deserved,LIBERAL
its the same speech as last year,LIBERAL
i cant get over the smirk on johnsons face he is gonna find out just how different things are gonna be,CONSERVATIVE
look at all the fake conversations going on in the beginning,LIBERAL
does the president actually have the power to just put roe vs wade back in place if so why hasnt he done this in the past 2 years,LIBERAL
