Tweet,Ideology
"['mayb', 'use', 'babysit', 'singl', 'parent', 'scrambl', 'child', 'care', 'still', 'work', 'clueless', 'trump', 'must', 'go']",Liberal
"['jare', 'kushner', 'id', 'resign', 'distract', 'he', 'caus', 'also', 'fact', 'shouldnt', 'lie', 'background', 'check', 'scott', 'dworkin', 'amjoy', 'msnbc', 'firekushn', 'muelleriscomingfory', 'lockthemallup', 'trump']",Liberal
"['realdonaldtrump', 'good', 'news', 'hair', 'skin', 'tone', 'look', 'love', 'orang', 'lockthemup', 'muellerscomingfory']",Liberal
"['would', 'happen', 'ivankatrump', 'vote', 'machin', 'mfg', 'china', 'brought', 'america', 'state', 'agre', 'mail', 'ballot', 'way', 'go', 'typic', 'trump', 'dont', 'want', 'lose', 'billion']",Liberal
"['new', 'hero', 'ye', 'newyorkstateag', 'go', 'ti', 'get', 'trump']",Liberal
"['oh', 'dear', 'cours', 'putin', 'say', 'true', 'trust', 'intellig', 'institut', 'investig', 'crime', 'cours', 'guilti', 'man', 'would', 'behav', 'like', 'law', 'catch', 'trumpcrimesdaili', 'trump']",Liberal
"['muller', 'remov', 'one', 'shoe', 'ten', 'feet', 'trump', 'go']",Liberal
"['wait', 'say', 'prolif', 'liar', 'kid', 'rip', 'famili', 'chariti', 'republican', 'parti', 'full', 'greedi', 'corrupt', 'insid', 'trade', 'enabl', 'fail', 'protect', 'american', 'republicanenabl', 'trump']",Liberal
"['told', 'stop', 'watch', 'fox', 'news', 'entertain', 'fake', 'definit', 'like', 'presid', 'trump']",Liberal
"['that', 'flat', 'bullshit', 'tax', 'money', 'use', 'hell', 'small', 'busi', 'didnt', 'even', 'get', 'tax', 'money', 'better', 'damn', 'well', 'abl', 'see', 'get', 'corrupt', 'fraud', 'trump']",Liberal
"['find', 'offens', 'trump', 'demean', 'malign', 'mock', 'amp', 'lie', 'constantli', 'find', 'offens', 'offic', 'due', 'trump', 'find', 'offens', 'prison', 'yet', 'find', 'offens', 'complicitgop', 'fail', 'put', 'countryoverparti']",Liberal
"['great', 'mani', 'american', 'citizen', 'rather', 'amaz', 'eat', 'much', 'less', 'appetit', 'long', 'list', 'seriou', 'feloni', 'crime', 'expos', 'brought', 'today', 'regard', 'alleg', 'trump', 'us', 'congression', 'oversight', 'committe', 'cohen']",Liberal
"['think', 'sane', 'patriot', 'american', 'would', 'trust', 'word', 'brave', 'hero', 'uniform', 'smirk', 'draft', 'dodg', 'usefulidiot', 'pretend', 'potu', 'vindmanisapatriot', 'trumpisafailur', 'unfittobepresid', 'trump']",Liberal
"['repeat', 'father', 'said', 'begin', 'anoth', 'version', 'complet', 'hoax', 'trump']",Liberal
"['secretari', 'secpompeo', 'corrupt', 'everi', 'member', 'trump']",Liberal
"['donaldjtrumpjr', 'practic', 'trumpist', 'strategi', 'blame', 'other', 'amp', 'trump', 'guilti']",Liberal
"['wish', 'mueller', 'christma', 'wish', 'mueller', 'christma', 'wish', 'mueller', 'christma', 'impeach', 'next', 'year', 'indict', 'bring', 'kid', 'trump', 'trumptow']",Liberal
"['your', 'go', 'dodgydonald', 'captainbonespur', 'pussygrabbingpresid', 'find', 'guilti', 'tie', 'offic', 'indict', 'count', 'obstruct', 'mueller', 'report', 'ukrain', 'crime', 'prosecut', 'put', 'prison', 'trump']",Liberal
"['actual', 'best', 'evid', 'yet', 'democrat', 'know', 'trump', 'doesnt', 'want', 'mcgahn', 'testifi', 'still', 'tri', 'hide', 'russian', 'connect']",Liberal
"['happybirthdaytrump', 'thought', 'like', 'see', 'pictur', 'real', 'first', 'famili', 'obamaappreciationday', 'trump', 'realdonaldtrump']",Liberal
"['french', 'connect', 'trump', 'famili', 'trust', 'invest', 'hydroxychloroquin', 'maker', 'trump', 'invest', 'hydroxychloroquin', 'ever', 'doubt']",Liberal
"['trump', 'fed', 'pick', 'held', 'contempt', 'fail', 'pay', 'realdonaldtrump', 'want', 'anyon', 'administr', 'doesnt', 'crimin', 'background']",Liberal
"['odor', 'mendac', 'stench', 'avaric', 'permeat', 'everi', 'pore', 'trump', 'gop', 'wh', 'justic', 'justu', 'impeachbarr', 'indicttrump', 'barrli', 'ruleoflaw']",Liberal
"['sickyoungmagat', 'trumpyouth', 'like', 'putinspuppet', 'take', 'countri', 'plenti', 'hate', 'everyon', 'trumpistan', 'trumpshutdown', 'gopiscomplicit']",Liberal
"['crook', 'like', 'father', 'ivankatrump', 'involv', 'inaugur', 'inflat', 'payment', 'famili', 'busi', 'trump', 'lawsuit']",Liberal
"['know', 'trumptowerrussia', 'plan', 'start', 'much', 'quid', 'pro', 'quo', 'trump', 'need', 'huge', 'histori', 'book', 'cover', 'keep', 'grab', 'money', 'illeg', 'name', 'asset', 'forfeitur', 'therealdonaldtrumptaxreturn']",Liberal
"['trump', 'administr', 'su', 'sinc']",Liberal
"['robert', 'mueller', 'certainli', 'ca', 'call', 'find', 'differ', 'way', 'say', 'legal', 'paper', 'trump']",Liberal
"['sure', 'dementia', 'focu', 'one', 'thing', 'let', 'go', 'even', 'say', 'true', 'kinda', 'like', 'impeach', 'dementiadonald', 'trump']",Liberal
