channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
ABC News,50 million Americans under severe weather threats,2024-05-08T23:55:52Z,_tO3Szri3KM,28241,173,35
ABC News,Trump Legal team renews push to remove Georgia DA from election case,2024-05-08T23:41:06Z,Rs0GzL35I8Y,26455,279,226
ABC News,RFK Jr says worm ate part of his brain,2024-05-08T22:23:06Z,p5_5tzZInc4,40849,576,986
ABC News,"USC student reacts to protests, cancellation of graduation ceremony",2024-05-08T22:19:19Z,whaiG8YdzrM,6823,57,47
ABC News,Marjorie Taylor Greene triggers vote on motion to oust Speaker Mike Johnson,2024-05-08T21:26:32Z,NX-w7GsGGAI,27266,278,146
ABC News,More than 50 tornadoes reported in U.S. since Monday,2024-05-08T20:54:01Z,p1jKCai80ms,54010,1997,105
ABC News,Police continue to break up pro-Palestine encampments on college campuses,2024-05-08T19:30:03Z,eNBJbZUU4bw,4661,32,109
ABC News,US pauses weapons shipment to Israel amid concerns over Rafah incursion,2024-05-08T19:10:36Z,IlN0K4DFflk,9387,96,124
ABC News,UN warns total famine is just 6 weeks away in Gaza,2024-05-08T18:30:11Z,GpNFHw5CotI,2367,33,45
ABC News,Nikki Haley gets surprising amount of votes in Indiana primary,2024-05-08T18:15:31Z,97ANpHYIrZI,8394,155,85
ABC News,Maui faces major housing issue months after devastating wildfires,2024-05-08T16:08:22Z,SR47Oe7Ew_M,1603,22,14
ABC News,TikTok sues US government to prevent potential ban,2024-05-08T15:50:00Z,sxoTQRNZwbc,15610,137,241
ABC News,Education Secretary Miguel Cardona says ‘hate has no place on college campuses’,2024-05-08T15:38:50Z,_z_hunigkCk,995,9,24
ABC News,Prince Harry returns to London for Invictus Games,2024-05-08T15:30:13Z,hrFwYUKL6Yc,9476,93,89
ABC News,Former roommate of murdered Idaho students breaks silence,2024-05-08T15:15:02Z,bY9D3aXzbhE,152884,1785,734
ABC News,Tornadoes leave trail of destruction in Oklahoma and Michigan,2024-05-08T15:05:42Z,aMKn5VsjuoY,17654,141,32
