channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
ABC News,Bruce Springsteen signs absence note for young fan,2024-04-07T21:30:01Z,O6fTsECL4_s,80956,3100,80
ABC News,"Walmart’s $45 million settlement, what to know if you qualify",2024-04-07T20:00:03Z,82OaCPCOuoM,73459,641,202
ABC News,Sicily’s Mount Etna blows smoke rings into the sky,2024-04-07T19:55:40Z,xoqs4m1-kB4,76925,2050,77
ABC News,A look back at the 2017 total solar eclipse,2024-04-07T18:00:32Z,txPtz2OC2Pw,68332,430,73
ABC News,War in Gaza is a ‘war against humanity&#39;: World Central Kitchen founder José Andrés,2024-04-07T17:14:16Z,EdOvit__o8A,197732,6924,3697
ABC News,1 day until solar eclipse as millions of Americans prepare for rare event,2024-04-07T15:20:00Z,v4-rRcWrHaE,177191,1123,501
ABC News,More aftershocks following rare Northeast earthquake,2024-04-07T13:52:49Z,HFC8r9cE204,246837,2037,615
ABC News,CDC issues urgent alert bird flu,2024-04-07T02:19:04Z,Q1H1nEeG7-M,35618,296,207
ABC News,"ABC World News Tonight Full Broadcast - April 6, 2024",2024-04-07T02:00:02Z,6M1ZIRElEqo,495795,5021,437
Fox News,Truth Social is &#39;next big game in town&#39;: Devin Nunes,2024-04-07T23:15:02Z,hys5ltimNsk,86399,2157,984
Fox News,&#39;UNHINGED&#39;: Mike Pompeo slams Biden admin&#39;s shifting stance toward Israel,2024-04-07T22:30:10Z,vQn-LQmu8qg,191955,4311,1071
Fox News,&#39;DISGRACEFUL COMMENTARY&#39;: JD Vance rips Biden&#39;s &#39;bragging&#39; on the economy,2024-04-07T21:00:17Z,PUXojSfjISY,147488,4737,1328
Fox News,Lara Trump: We are leaving ‘nothing to chance’ in 2024,2024-04-07T18:45:01Z,_ueJ8b-ix3M,218504,6807,2147
Fox News,Florida is now a Republican state: Gov. Ron DeSantis,2024-04-07T18:00:20Z,t3W8IEFPJwY,224089,8002,2333
Fox News,Mayor Adams is ‘aiding and abetting’ Biden’s political games: TX gov,2024-04-07T16:30:16Z,wYe66ph-oo4,89941,2656,1245
Fox News,Trump&#39;s &#39;energetic&#39; fundraiser raises record-breaking amount: Doug Burgum,2024-04-07T15:45:00Z,0lTai3e9lQA,282160,6922,3608
