channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
ABC News,Panic and destruction after earthquale strikes western Japan,2024-01-01T21:16:14Z,pHIxnmMdq7s,70339,2111,123
ABC News,Worldwide New Year’s celebrations with increased security measures,2024-01-01T17:51:08Z,mtCTZwH5HyM,68964,611,63
ABC News,Shelves rattle in store as strong earthquake hits Japan - ABC News,2024-01-01T13:44:52Z,BZyPDrbncIc,65629,1422,97
ABC News,LIVE: Revelers ring in new year in Mexico City,2024-01-01T06:38:32Z,2N_u_Vf8BRM,31510,370,
ABC News,"ABC World News Tonight Full Broadcast - Dec. 30, 2023",2024-01-01T06:20:27Z,HcKC7rpG42U,33127,260,26
ABC News,NYC New Year&#39;s Eve celebration in Times Square,2024-01-01T06:05:28Z,hrQuAWh5Eeg,19528,456,31
ABC News,Brazil welcomes the new year with fireworks at Copacabana beach,2024-01-01T04:55:59Z,yq0L7NSxlTw,50228,1711,37
ABC News,The Year: Countdown to 2024 – What’s Trending,2024-01-01T04:30:00Z,1AJcLoms1sk,9434,88,12
ABC News,Tensions escalate in the Red Sea,2024-01-01T02:20:22Z,Vj17dnT37W4,974724,5895,2391
ABC News,LIVE: Revelers ring in new year in London,2024-01-01T00:16:26Z,Hb3Tm2aB1w0,65776,562,
Fox News,Names tied to Epstein to be released,2024-01-01T22:30:01Z,AsHX7F5bBhI,350981,6385,3091
Fox News,President Biden and Hunter Biden are &#39;experts&#39; at hiding money: Jimmy Failla,2024-01-01T21:15:01Z,g3fa70Oi77U,79978,4738,145
Fox News,Israel takes out terrorist who led Oct. 7 kibbutz massacre,2024-01-01T21:00:07Z,GaPVBons1zk,271678,5049,1006
Fox News,Jimmy Failla: We will ask Don Lemon&#39;s opinion on women once we get OJ&#39;s take on marriage,2024-01-01T20:15:00Z,LUEARmMr3ok,119710,5267,111
Fox News,"This will happen when we least expect it, border expert warns",2024-01-01T20:00:13Z,LQxEGDkWxO0,90678,2079,957
Fox News,"Biden admin quietly cracks down on fridges, freezers",2024-01-01T18:00:06Z,9wxi_wuFQGA,249728,7583,4607
Fox News,US sinks 3 ships helmed by Iran-backed fighters after Red Sea attacks,2024-01-01T17:15:00Z,EGqwggbqIH8,234429,3283,975
Fox News,"December border crossings exceed 300,000 for first time in US history",2024-01-01T15:45:00Z,EzO5N9Ergzw,52362,1302,984
CNN,Japan office shows power of earthquake,2024-01-01T21:31:00Z,7iFm4QtvbfA,54586,1789,70
CNN,Videos capture violent shaking during huge earthquake in Japan,2024-01-01T19:12:01Z,6OGkMeftgaI,167861,1499,380
