channel_name,video_title,published_at,video_id,view_count,like_count,comment_count
ABC News,ABC News Prime: 3 dead in AK shooting; SCOTUS upholds domestic violence gun ban; Black voter impact,2024-06-21T23:58:59Z,SEWfGjxZ7DM,54127,799,
ABC News,Nationwide crackdowns expand on smartphones and social media in schools,2024-06-21T23:15:38Z,8hD2oPqlrMw,4535,72,34
ABC News,"Alec Baldwin &#39;Rust&#39; trial still set for next month, judge rules",2024-06-21T23:01:27Z,GAnjT0n9CiU,10194,59,61
ABC News,"3 killed, 10 hurt in Arkansas grocery store mass shooting",2024-06-21T22:32:16Z,gw9675sHtzU,54768,457,438
ABC News,River rages as Tropical Storm Alberto hits Mexico,2024-06-21T21:08:48Z,WD6BqG2CjFo,43307,931,53
ABC News,"Extreme heat linked to more than 11,000 deaths last year: CDC",2024-06-21T20:13:39Z,hLRng7t-bzc,2152,29,4
ABC News,Netanyahu says video criticizing Biden administration was &#39;absolutely necessary&#39;,2024-06-21T20:05:19Z,OI8dGQp8Nt4,29602,228,452
ABC News,"Watch Good Morning America – Friday, June 21, 2024",2024-06-21T17:30:00Z,6TcaD-FT5lY,22147,263,18
ABC News,Supreme Court upholds ban on guns for those with domestic violence restraining orders,2024-06-21T16:01:24Z,mfsyXyTMlTU,8151,88,172
ABC News,LIVE: Supreme Court upholds ban on guns for domestic abusers | ABC News,2024-06-21T15:26:32Z,RM2hzcaa9Kg,29001,282,
ABC News,Southwest plane drops to 500 feet as it approaches airport,2024-06-21T14:40:00Z,Xq-JkHfDXUg,205386,1331,909
ABC News,Supreme Court upholds federal ban on firearms for domestic violence offenders,2024-06-21T14:37:59Z,mEqcLKgb63E,14634,214,238
ABC News,Chinese coast guard collides with Philippine ship in disputed South China Sea,2024-06-21T14:25:00Z,_-E8MuxkEvM,25133,223,210
ABC News,"Extreme heat disrupts Amtrak travel in NYC, causing commuter chaos",2024-06-21T14:10:00Z,Lc26XZ8Cl3M,2033,18,9
ABC News,Copa América kicks off: US hosts world&#39;s oldest soccer tournament,2024-06-21T13:52:44Z,XwuI8Lg0DK0,4578,33,4
ABC News,Wife speaks out for first time after deadly Mexico jacuzzi incident,2024-06-21T13:52:11Z,7bLPUYKhMdw,182121,1376,625
ABC News,"Biden, Trump prepare for 1st debate in election cycle",2024-06-21T13:46:19Z,bxmR-wfGrGU,36916,486,534
ABC News,Saving on vet costs south of the border,2024-06-21T07:47:53Z,V1ZcGtA2b2s,13008,229,75
ABC News,Lake Street Dive on finding &#39;joyful rebellion&#39; in new album,2024-06-21T04:00:30Z,qERXP2lOOvM,3672,80,9
ABC News,"LIVE: ABC News Live - Thursday, June 20",2024-06-21T03:32:26Z,HQnTDDrdfys,75237,491,
ABC News,US renews warning after officials say Chinese forces seized 2 boats in Philippines,2024-06-21T03:00:22Z,iD-LTgZCoL0,281413,2331,3298
ABC News,National Rifle Association enters new era,2024-06-21T02:30:26Z,qnr-JGyLsYk,7113,103,124
ABC News,"ABC World News Tonight with David Muir Full Broadcast - June 20, 2024",2024-06-21T02:00:31Z,j6TmauMty18,555905,5995,1162
ABC News,USC student will not face charges in fatal stabbing of homeless man,2024-06-21T00:58:47Z,2tzpIkxi48g,6137,46,47
ABC News,"ABC News Prime: Biden, Trump prepare for 1st debate; Future of the NRA; LGTBQ elders on coming out",2024-06-21T00:31:13Z,Du018KXT2tY,29574,447,
ABC News,"Actor Donald Sutherland, father of Kiefer Sutherland dead at 88",2024-06-21T00:31:26Z,LImPXpf6Q2o,29323,466,95
ABC News,FAA investigating an incident on a Southwest Airlines flight,2024-06-21T00:07:08Z,ylF4ZRiYQI0,23994,178,116
Fox News,Jesse Watters: This feels like a terror attack to me,2024-06-21T23:00:14Z,e7iBTHMN6tg,394636,15546,4391
Fox News,&#39;The Five&#39; reacts to new unedited video of Biden &#39;shuffling&#39; to Camp David,2024-06-21T22:00:34Z,rkvR9Wrtkrk,2079262,25529,9873
Fox News,CNN’s Van Jones warns this could be ‘game over’ for Biden,2024-06-21T21:30:06Z,W9ifJq3bqSc,249797,3174,1393
Fox News,Gov. Jeff Landry defends displaying the 10 Commandments in Louisiana schools,2024-06-21T20:45:00Z,PUyjWdJ8WrQ,59287,1261,2483
Fox News,Kayleigh McEnany: The media is the real aider and abettor,2024-06-21T20:00:04Z,4eWAUgGFiMM,80141,3126,1008
Fox News,Congressman goes off on Biden admin after Texas girl&#39;s murder,2024-06-21T19:15:01Z,pK1YkoxQwEs,215980,14392,3983
Fox News,Sister of slain Maryland mom says Biden admin &#39;has blood on its hands&#39;,2024-06-21T18:30:27Z,iBWkVt9J0RA,52875,2051,908
Fox News,MSNBC anchor admits Trump reminding him of 2016,2024-06-21T17:45:00Z,D5ZE-zAe43M,90014,1650,1077
Fox News,‘THRILLED’: Jon Taffer applauds Trump’s tax-free tips proposal as ‘massive’ move for industry,2024-06-21T17:00:10Z,CnfPBVHQ3MA,89792,1496,790
Fox News,Newt Gingrich: This is like watching your great-grandfather,2024-06-21T16:15:05Z,x84aFCe2ycQ,208575,3911,1149
Fox News,Alvin Bragg faces backlash for &#39;unbelievable&#39; decision,2024-06-21T15:30:04Z,Fz3RiBcgFAk,183887,4300,1901
Fox News,Supreme Court&#39;s new gun ruling could impact Hunter Biden case,2024-06-21T14:39:25Z,t9vLSkxOgfg,177526,2370,1022
Fox News,Democrats are admitting this is a big problem for Biden,2024-06-21T14:00:37Z,dFeFk8Ofxxo,323982,7771,2192
Fox News,2 migrants arrested for 12-year-old Houston girl&#39;s murder,2024-06-21T13:15:00Z,BvcQ-yngoHM,195436,6371,4276
Fox News,Gutfeld’s debate advice for Biden: Tape a cheat sheet on the back of your Life Alert,2024-06-21T13:15:02Z,8DLiIKn38SU,92026,6657,383
Fox News,&#39;FED UP&#39;: Residents in AOC&#39;s district to rally against rampant crime,2024-06-21T12:30:37Z,pgrSGAJRoxE,218143,6761,2825
Fox News,"MSNBC host, &#39;Squad&#39; member RIPPED for laughing off migrant rape as &#39;fear-mongering&#39;",2024-06-21T11:45:03Z,lUX0YNaufPI,198476,6988,2385
Fox News,Laura Ingraham: This is a &#39;liberal freakout&#39;,2024-06-21T11:00:24Z,XgO1xc1EegQ,34660,1427,866
Fox News,Tom Homan: This is the most &#39;vicious crime&#39; imaginable,2024-06-21T10:15:00Z,5Bhbb-wtfI8,114970,6590,1829
Fox News,Trump lawyer: We will clean house in November,2024-06-21T09:30:04Z,DHuerkwC57w,226163,7925,2203
Fox News,Kevin O’Leary: This debate could be costly for Biden,2024-06-21T08:45:01Z,Tm8RzO2e9d0,594151,10074,2694
Fox News,Alvin Bragg drops charges against students arrested at anti-Israel protests,2024-06-21T08:00:19Z,_b40RWzHguI,25592,570,525
Fox News,Trump understands the pain points of America: Gov. Doug Burgum,2024-06-21T07:00:02Z,1ByU1EEMYSY,18705,571,301
Fox News,House Intel chairman warns about Russia&#39;s space weapons threat,2024-06-21T06:00:20Z,qtptOkcKy1A,27965,482,358
Fox News,We need to restore a culture of law and order: Vivek Ramaswamy,2024-06-21T05:00:01Z,avnJT91Sz18,27417,1256,391
Fox News,Tomi Lahren: The Democratic Party wants &#39;these videos on a loop&#39; to get rid of Biden,2024-06-21T04:15:03Z,e0CSAdvjirA,94673,2246,657
Fox News,Gutfeld: There’s nothing better than this,2024-06-21T03:30:29Z,wOa2-28UghA,151971,5031,307
Fox News,Sean Hannity: Americans aren&#39;t buying this lie,2024-06-21T02:45:05Z,vzNwG0Bn7VY,55016,2108,1033
Fox News,Sean Hannity: The legend of &#39;Jacked-up Joe&#39; #shorts,2024-06-21T02:15:00Z,DlqT3XF0s1Q,155038,7734,897
Fox News,Jesse Watters: The media is fact-checking Trump&#39;s jokes now,2024-06-21T02:00:13Z,YfAN8byIqhw,185555,6559,1933
Fox News,Laura Ingraham: The Biden camp knows he is in a hole,2024-06-21T01:15:00Z,3Fa0EzQ52O0,156342,5766,1585
Fox News,Dennis Quaid on making &#39;Reagan&#39;: &#39;Very intimidating&#39; when I was offered the role,2024-06-21T00:30:00Z,aT5-qXMYgdc,25217,814,244
CNN,‘I’m not underestimating him’: Trump ahead of debate with Biden,2024-06-21T23:59:03Z,PcBXBqrfrzw,163376,987,2273
CNN,Steve Bannon makes longshot request to Supreme Court to avoid prison,2024-06-21T20:48:32Z,Kup_UJSZ1g8,216370,2728,2100
CNN,Buckingham Palace royal guards play ‘Shake It Off’ ahead of tour,2024-06-21T20:16:58Z,IyxcpP4SvKI,23335,1035,48
CNN,Trump Media shares are in free fall,2024-06-21T18:46:43Z,AMoAL-LRor8,408363,5726,2250
CNN,Boston Celtics celebrate championship with duck boat parade,2024-06-21T18:15:00Z,9CifbUqRW14,23579,732,46
CNN,Hear who is likely to play Trump during Biden&#39;s debate prep,2024-06-21T18:05:47Z,VofxaGJUbRI,75075,1354,959
CNN,Judge Judy on what she thinks about Donald Trump,2024-06-21T16:59:46Z,mDxgZNi4PdU,1247012,20297,4730
CNN,The US believes Israel&#39;s missile defense system could be overwhelmed in a war with Hezbollah.,2024-06-21T16:00:07Z,7HTaOcw2K-M,633440,4387,2931
CNN,Is this craft cocktail machine worth $350?,2024-06-21T15:32:03Z,TuXVO3PoQf0,5876,67,34
CNN,Supreme Court issues ruling in major Second Amendment case,2024-06-21T15:27:43Z,ZfnPsX_qj4o,160969,1588,1386
CNN,Smerconish says Trump&#39;s new tactic heading into debate is &#39;too late&#39;,2024-06-21T14:57:48Z,G9-fdpbbfz4,194543,2515,1381
CNN,Bangladesh hit by heavy monsoon flooding,2024-06-21T14:00:00Z,SIidoKwyxhk,17211,453,59
CNN,Ex-US Defense Secy. under Trump explains the message Hezbollah is sending Israel,2024-06-21T13:09:29Z,J1OkO6TW3Ck,129910,963,829
CNN,Hear co-author of Ten Commandments bill’s response to families who don’t share religious views,2024-06-21T12:27:27Z,TGY47kCOiOY,587546,13728,22518
CNN,Pollution threatens Olympic events in Paris,2024-06-21T12:09:07Z,nbwaAvqjjtc,39090,865,130
